recv_ts,cycle,rank,code,name,action,decision,nav,fair_value,bid1,ask1,spread_bps,etf_obi,buy_gap_bps,sell_gap_bps,pnl_bps,hold_sec,order_side,order_qty,order_price,order_no,filled,fill_status,before_qty,after_qty,reason
2026-07-01T14:09:03.078,7,20,475300,SOL 반도체전공정,WAIT,HOLD,30646.89,30628.501866,30665.0,30675.0,3.2605151613955003,-0.902656274852871,-15.181328229317614,11.916395440978798,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:03.617,7,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24478.58,24465.567536482267,24460.0,24485.0,10.215548064153642,-0.375198792969865,-7.942780599205648,-2.275662101018169,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:04.152,7,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143319.58,143233.588252,143165.0,143250.0,5.9354433252448375,-0.9744704467671815,-1.1458030340717946,-4.788559222527829,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:04.681,7,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10536.75,10534.344903389696,10525.0,10530.0,4.749465685110425,-0.14295657794156946,4.124512183285186,-8.87089180712978,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:15.219,8,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26591.69,26586.19145659923,26555.0,26570.0,5.647058823529411,-0.0622749858668809,6.090175279773328,-11.732201902686517,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:16.270,8,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49324.85,49297.48333377194,49340.0,49365.0,5.0655995137024465,-0.6714285714285714,-13.695763284899279,8.624510492797132,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:16.806,8,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073480.9949171366,1073515.0,1073520.0,0.04657585926638364,-0.001172399476079317,-0.3633514058289765,0.3167739626914205,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:17.355,8,20,475300,SOL 반도체전공정,WAIT,HOLD,30615.83,30597.460502,30620.0,30650.0,9.792720744246775,-0.8637992831541219,-17.1711956280045,7.366460363115751,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:17.890,8,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24482.44,24481.239060963024,24465.0,24485.0,8.171603677221654,0.32682505399568035,-1.5362535481193296,-6.633267590167883,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:18.422,8,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143387.27,143454.11764814678,143045.0,143105.0,4.193604752752053,0.9866860827959226,24.336537275498326,-28.51905925420955,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:18.955,8,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10533.38,10530.247637264867,10515.0,10525.0,9.505703422053232,-0.020339648143707353,4.983393976696739,-14.479846809022918,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:29.486,9,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26583.14,26581.38826110602,26555.0,26570.0,5.647058823529411,0.17252525252525253,4.284298846304057,-9.927344970402869,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:30.497,9,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49331.81,49323.45884122611,49340.0,49365.0,5.0655995137024465,-0.028862478777589132,-8.42219093101623,3.3536088430333377,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:31.031,9,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.1284805797,1073515.0,1073520.0,0.04657585926638364,-0.0009650317892824705,-0.36210715204015975,0.31552971469780916,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:31.560,9,20,475300,SOL 반도체전공정,WAIT,HOLD,30619.61,30602.076422938633,30620.0,30635.0,4.8975593829075175,-0.7094982765224052,-10.758608862465305,5.856980687732582,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:32.096,9,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24484.47,24470.108712552385,24460.0,24490.0,12.257405515832481,-0.36470771872317176,-8.128810411623498,-4.13104521566718,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:32.652,9,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143333.77,143304.33164800887,143040.0,143145.0,7.337910791970229,0.02459016393442623,11.11841115872387,-18.445475092695254,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:33.188,9,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10529.02,10528.797663028077,10510.0,10520.0,9.510223490252022,0.4403168620436324,8.35580976066273,-17.853570397772366,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:43.719,10,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26588.42,26586.58641419704,26555.0,26565.0,3.7650602409638556,0.07331664733532751,8.119287621488128,-11.880582826599559,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:46.097,10,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49332.36,49319.736050734704,49340.0,49355.0,3.0396676630021786,-0.27450980392156865,-7.150068530176327,4.10868972300476,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:46.634,10,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.1211057506,1073515.0,1073520.0,0.04657585926638364,-0.0009764817881554902,-0.3621758546568136,0.3155984169944754,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:47.163,10,20,475300,SOL 반도체전공정,WAIT,HOLD,30605.35,30595.283381328958,30600.0,30605.0,1.6338534433461318,-0.4665022605836416,-3.1758550982964895,1.5416162721082363,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:47.696,10,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24486.65,24480.944449940467,24460.0,24485.0,10.215548064153642,0.12243313809893444,-1.6566150328986577,-8.55540928304263,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:48.229,10,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143270.91,143203.05704926074,143060.0,143155.0,6.638366263123876,-0.45741324921135645,3.3558675527579993,-9.989804143044669,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:48.762,10,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10531.19,10529.924338281275,10510.0,10515.0,4.756242568370987,0.037508440243079,14.17326260077447,-18.92163480115451,,,,,,,,,,,edge_below_threshold
2026-07-01T14:09:59.298,11,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26557.02,26563.78153538891,26520.0,26525.0,1.8851918182675087,0.518600335778033,14.599403077172356,-16.48166520665828,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:00.423,11,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49256.16,49241.24996238344,49245.0,49275.0,6.090133982947624,-0.2,-6.854017240087341,0.7615642615545635,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:00.966,11,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.1062783126,1073515.0,1073520.0,0.04657585926638364,-0.0009995025446753148,-0.36231398447445967,0.3157365461687715,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:01.500,11,20,475300,SOL 반도체전공정,WAIT,HOLD,30533.08,30514.760152,30520.0,30525.0,1.6381358014579408,-0.9843251088534107,-3.355703256061783,1.7171519533171373,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:02.043,11,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24496.84,24497.209070341374,24440.0,24460.0,8.1799591002045,0.4341080196399345,15.189105924079723,-23.35330125856535,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:02.660,11,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143305.84,143219.856496,142930.0,143085.0,10.838592381518453,-0.9828924858534017,9.416047418240465,-20.238569084733616,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:03.192,11,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10525.35,10524.210733095993,10500.0,10505.0,4.76077124494168,0.05763808403535781,18.2538468519834,-23.004796948674507,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:13.753,12,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26502.53,26494.92621527157,26460.0,26475.0,5.667327854916407,-0.19481340923466162,7.520766470406545,-13.182227792519628,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:15.110,12,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49157.22,49163.400392456,49145.0,49170.0,5.085693942938514,0.46382978723404256,-1.3423822378670707,-3.742701340655335,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:15.642,12,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.0786103867,1073515.0,1073520.0,0.04657585926638364,-0.001042459162695576,-0.36257173404196386,0.3159942945357877,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:16.206,12,20,475300,SOL 반도체전공정,WAIT,HOLD,30421.9,30403.64686,30410.0,30420.0,3.287851389117212,-0.8832605826819612,-5.378677128865737,2.0895980108089103,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:16.749,12,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24439.04,24434.58762315432,24375.0,24400.0,10.251153254741158,0.20891938250428815,14.155190047710681,-24.386588418563434,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:17.276,12,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143196.44,143250.47128027244,142800.0,142880.0,5.600672080649678,0.908904920857112,25.86178439494306,-31.446408255864146,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:17.808,12,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10496.78,10495.547988059501,10480.0,10485.0,4.769854519437157,0.0428752857505715,10.04996411002206,-14.813888781404977,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:28.388,13,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26522.61,26520.976941577333,26490.0,26500.0,3.774297037176826,0.08609433156385381,7.909565934747911,-11.680166098546119,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:29.309,13,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49182.25,49164.51756495412,49180.0,49210.0,6.0981807094216895,-0.296,-9.251069124351877,3.149107489039329,,,,,,,,,,,edge_below_threshold
2026-07-01T14:10:29.857,13,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.0687111726,1073515.0,1073520.0,0.04657585926638364,-0.0010578284664548969,-0.36266395339588636,0.3160865134601917,,,,,,,,,,,edge_below_threshold
