recv_ts,rank,code,name,holdings,nav_source,priced_components,nav,fair_value,ask1,bid1,micro,spread_bps,etf_obi,current_basis_bps,expected_basis_bps,buy_gap_bps,sell_gap_bps,decision,position_action,entry_price,exit_price,pnl_bps,hold_sec,reason,estimate_method
2026-06-24T13:40:14.762,22,488080,TIGER 반도체TOP10레버리지,11,LOCAL_COMPONENT_MICRO_L1,11,78200.39003094373,78166.58650476414,77665.0,77450.0,77526.78571428571,27.721368017277502,0.6656217345872518,-82.2105913652528,-4.322679997659739,64.16891503041019,-91.67427372825944,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:40:20.249,26,469150,ACE AI반도체TOP3+,20,LOCAL_COMPONENT_MICRO_L1,20,74600.81872269616,74556.05823146254,74600.0,74480.0,74586.17977528089,16.098738932116984,-0.8300305786108574,-8.152554320111879,-6.0,-5.893789127242421,-10.201482383418023,HOLD,WAIT,,,,,spread_too_wide,rounded_to_common_creation_unit_regression
2026-06-24T13:40:22.710,31,292150,TIGER 코리아TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,46699.169995347445,46722.392281512715,46690.0,46675.0,46689.28571428572,3.2131955229475717,0.9894498869630746,-3.5696555954005533,4.972740664894176,6.932924435363804,-10.143376483628305,BUY,ENTER_BUY,46690.0,,,,paper_entry_on_buy_signal,unrounded_raw_creation_unit_regression
2026-06-24T13:40:25.733,32,487240,KODEX AI전력핵심설비,12,LOCAL_COMPONENT_MICRO_L1,12,40498.7550028316,40481.267671388894,40465.0,40435.0,40435.58823529412,7.416563658838071,-0.3488372093023256,-12.038642380042242,-4.317992353465375,4.018567679487877,-11.429402795504567,HOLD,HOLD_POSITION,40450.0,,-3.7082818294190356,114.875,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:40:36.686,35,243880,TIGER 200IT레버리지,17,LOCAL_COMPONENT_MICRO_L1,17,762008.4853522924,761551.2802610811,763245.0,760010.0,762910.3448275862,42.474831856780376,-0.8238993710691824,-4.999752097462361,-6.0,-22.24038988337442,-20.238693060205577,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:41:00.911,41,367760,RISE 네트워크인프라,23,LOCAL_COMPONENT_MICRO_L1,23,78352.94569018237,78318.21859444317,78465.0,78370.0,78389.0,12.114642777441262,-0.13295729250604352,8.238912940540066,-4.432136588268639,-18.741668055157348,6.611667947271795,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:41:04.969,42,466920,SOL 조선TOP3플러스,13,LOCAL_COMPONENT_MICRO_L1,13,32774.26619149006,32762.81000255979,32770.0,32740.0,32759.772727272728,9.158907037093574,-0.12463514302393462,-5.8784509094707165,-3.49548296927168,-2.1945606740232413,-6.962163061717396,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:41:07.451,43,0210A0,ACE K반도체TOP2+,10,LOCAL_COMPONENT_MICRO_L1,10,9839.439629812377,9833.69525998695,9835.0,9830.0,9830.77912570592,5.085176709890669,-0.7187589449123507,-7.052870969756424,-5.838106682441305,-1.3268054160268574,-3.757753203910116,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:41:13.711,44,0148J0,TIGER 코리아휴머노이드로봇산업,15,LOCAL_COMPONENT_MICRO_L1,15,10371.574307093126,10369.464866127975,10370.0,10355.0,10368.531225905937,14.475271411338964,0.38478562586743686,-8.74920896716695,-2.0338676681970678,-0.5160670091788125,-13.949481785916433,HOLD,WAIT,,,,,spread_too_wide,rounded_to_common_creation_unit_regression
2026-06-24T13:41:16.184,48,0117V0,TIGER 코리아AI전력기기TOP3플러스,10,LOCAL_COMPONENT_MICRO_L1,10,21401.597833476928,21405.61241504535,21355.0,21345.0,21354.98987854251,4.68384074941452,0.5468308101813342,-24.109337012312817,1.875832636263649,23.644460183618353,-28.316132176039975,BUY,ENTER_BUY,21355.0,,,,paper_entry_on_buy_signal,unrounded_raw_creation_unit_regression
