THEME_NAME,THEME_ID,n_stocks,n_up,agreement_rate,holding_rtn_mean,rebal_date,holding_date,ga_weight,agreement_bin,agreement_rate_pct,holding_rtn_pct
카지노,47,6,6,1.0,-0.016895994142689552,20251209,20251210,0.0003,70~100%,100.0,-1.6895994142689552
탈 플라스틱(친환경/생분해성 등),581,8,6,0.75,-0.013434405027826724,20251209,20251210,0.0001,70~100%,75.0,-1.3434405027826724
탈모 치료,506,20,14,0.7,-0.003425761615960904,20251209,20251210,0.0,70~100%,70.0,-0.3425761615960904
3D 프린터,326,11,4,0.36363636363636365,0.005787476815091175,20251210,20251211,0.0,30~50%,36.36363636363637,0.5787476815091175
LPG(액화석유가스),177,9,4,0.4444444444444444,0.033297187320025366,20251210,20251211,0.0008,30~50%,44.44444444444444,3.3297187320025365
SNS(소셜네트워크서비스),317,10,3,0.3,-0.00680467495301732,20251210,20251211,0.0003,30~50%,30.0,-0.680467495301732
mRNA(메신저 리보핵산),493,15,6,0.4,0.02302659385681894,20251210,20251211,0.0,30~50%,40.0,2.302659385681894
건설기계,378,16,11,0.6875,0.020056916976684033,20251210,20251211,0.0001,50~70%,68.75,2.005691697668403
공기청정기,112,12,4,0.3333333333333333,-0.009832501059514914,20251210,20251211,0.834,30~50%,33.33333333333333,-0.9832501059514914
공작기계,297,13,5,0.38461538461538464,0.0029742356663749856,20251210,20251211,0.0,30~50%,38.46153846153847,0.2974235666374986
면역항암제,389,35,12,0.34285714285714286,0.0222967884026658,20251210,20251211,0.0001,30~50%,34.285714285714285,2.22967884026658
바이오시밀러(복제 바이오의약품),241,21,9,0.42857142857142855,0.004896959871673283,20251210,20251211,0.0197,30~50%,42.857142857142854,0.4896959871673283
스마트홈(홈네트워크),104,23,8,0.34782608695652173,0.007981360442806753,20251210,20251211,0.0006,30~50%,34.78260869565217,0.7981360442806753
스테이블코인,582,22,8,0.36363636363636365,0.006771925479096431,20251210,20251211,0.0001,30~50%,36.36363636363637,0.6771925479096431
유리 기판,557,20,7,0.35,0.005285775738111209,20251210,20251211,0.0084,30~50%,35.0,0.5285775738111209
유전자 치료제/분석,376,40,18,0.45,0.030191769697462678,20251210,20251211,0.0001,30~50%,45.0,3.019176969746268
의료AI,543,30,19,0.6333333333333333,0.01901765372108594,20251210,20251211,0.1353,50~70%,63.33333333333333,1.901765372108594
조선,30,8,1,0.125,-0.0028565876416258157,20251210,20251211,0.0,0~30%,12.5,-0.28565876416258157
치아 치료(임플란트 등),174,14,6,0.42857142857142855,0.00441128348350225,20251210,20251211,0.0003,30~50%,42.857142857142854,0.44112834835022496
코로나19(치료제/백신 개발 등),448,29,13,0.4482758620689655,0.020382616042887037,20251210,20251211,0.0,30~50%,44.827586206896555,2.038261604288704
퓨리오사AI,576,11,5,0.45454545454545453,0.0052508566910000965,20251210,20251211,0.0001,30~50%,45.45454545454545,0.5250856691000096
DMZ 평화공원,398,18,15,0.8333333333333334,0.007957842515545877,20251211,20251212,0.0002,70~100%,83.33333333333334,0.7957842515545877
LPG(액화석유가스),177,9,6,0.6666666666666666,0.01199070575468697,20251211,20251212,0.4162,50~70%,66.66666666666666,1.199070575468697
mRNA(메신저 리보핵산),493,15,12,0.8,0.009175960809848883,20251211,20251212,0.0001,70~100%,80.0,0.9175960809848883
건설 중소형,322,26,24,0.9230769230769231,0.009317944842458467,20251211,20251212,0.0461,70~100%,92.3076923076923,0.9317944842458468
건설기계,378,16,16,1.0,0.0205254671950452,20251211,20251212,0.0011,70~100%,100.0,2.05254671950452
남북경협,121,29,19,0.6551724137931034,0.005598407590350015,20251211,20251212,0.0013,50~70%,65.51724137931035,0.5598407590350015
마이코플라스마 폐렴,546,12,11,0.9166666666666666,-0.013903938513505751,20251211,20251212,0.0001,70~100%,91.66666666666666,-1.3903938513505751
비만치료제,540,35,25,0.7142857142857143,-0.00468504965704374,20251211,20251212,0.0,70~100%,71.42857142857143,-0.468504965704374
손해보험,164,8,7,0.875,-0.010667548142315145,20251211,20251212,0.0059,70~100%,87.5,-1.0667548142315144
수산,90,10,10,1.0,0.004199435754401659,20251211,20251212,0.0,70~100%,100.0,0.41994357544016586
시멘트/레미콘,44,15,12,0.8,0.03149896387857085,20251211,20251212,0.3919,70~100%,80.0,3.149896387857085
유리 기판,557,20,13,0.65,-0.010204551895355896,20251211,20251212,0.0,50~70%,65.0,-1.0204551895355896
유전자 치료제/분석,376,40,33,0.825,-0.0017878138291257256,20251211,20251212,0.0003,70~100%,82.5,-0.17878138291257256
의료AI,543,30,20,0.6666666666666666,0.021129986744568643,20251211,20251212,0.0001,50~70%,66.66666666666666,2.1129986744568643
제대혈,124,5,3,0.6,0.019582112406958462,20251211,20251212,0.0004,50~70%,60.0,1.9582112406958463
종합 물류,141,15,13,0.8666666666666667,0.01674581801364911,20251211,20251212,0.0,70~100%,86.66666666666667,1.674581801364911
치아 치료(임플란트 등),174,14,9,0.6428571428571429,0.021898602611055498,20251211,20251212,0.0001,50~70%,64.28571428571429,2.1898602611055495
카메라모듈/부품,41,27,17,0.6296296296296297,0.015847547951867696,20251211,20251212,0.0017,50~70%,62.96296296296296,1.5847547951867695
코로나19(치료제/백신 개발 등),448,29,22,0.7586206896551724,-0.009810958205336878,20251211,20251212,0.0,70~100%,75.86206896551724,-0.9810958205336877
테마파크,181,6,6,1.0,0.017639505834159297,20251211,20251212,0.0,70~100%,100.0,1.7639505834159297
퓨리오사AI,576,11,6,0.5454545454545454,0.012345303430881542,20251211,20251212,0.1344,50~70%,54.54545454545454,1.2345303430881542
3D 프린터,326,11,8,0.7272727272727273,0.04677989412486994,20251212,20251215,0.0004,70~100%,72.72727272727273,4.677989412486994
건설 대표주,154,6,6,1.0,-0.04056073445085382,20251212,20251215,0.0002,70~100%,100.0,-4.056073445085382
건설기계,378,16,14,0.875,0.0019145594497046933,20251212,20251215,0.0001,70~100%,87.5,0.19145594497046933
