rebal_date,n_themes_selected,n_stocks_selected,filter_type,port_return,kospi_return,excess_return
20240529,2,9,전체,-0.02365138731785041,-0.01563515482015465,-0.008016232497695758
20240530,2,2,-3%이하,-0.00945179584120983,0.00040979874328384014,-0.00986159458449367
20240531,2,20,전체,-0.002702980145095545,0.01744724106018536,-0.020150221205280903
20240603,2,18,전체,-0.015402395516700926,-0.0076122452022725495,-0.007790150314428377
20240604,2,1,-3%이하,-0.024896623018607858,0.010292626122234472,-0.03518924914084233
20240605,2,21,전체,-0.04343876298926064,0.012333147425171997,-0.055771910414432635
20240607,2,8,전체,0.0018412471873139455,-0.007896660263638222,0.009737907450952168
20240610,2,3,-1%이하,-0.0020899444989398814,0.0015363712761506942,-0.0036263157750905757
20240611,2,2,-3%이하,-0.011815068493150685,0.008446320583147315,-0.020261389076298
20240612,2,1,-1%이하,0.005777948030390091,0.009794111070790867,-0.004016163040400776
20240613,2,1,-3%이하,-0.02130492676431425,0.0012813578763581912,-0.02258628464067244
20240614,2,16,전체,-0.0007575140710336919,-0.0051913776727257055,0.004433863601692014
20240617,2,1,-1%이하,0.014234875444839857,0.00722276884953188,0.007012106595307977
20240618,2,8,전체,0.003251350760851874,0.012087904136154348,-0.008836553375302474
20240619,2,11,전체,0.02501090734831044,0.0036820825572958515,0.021328824791014587
20240620,2,12,전체,-0.01702507079656848,-0.008323746362590478,-0.008701324433978003
20240621,2,10,전체,-0.029109384407433443,-0.007014431123530174,-0.02209495328390327
20240624,2,2,-1%이하,-0.017439179455563995,0.003494012073511632,-0.020933191529075627
20240625,2,13,전체,0.0018484609148859594,0.006365363196955132,-0.004516902282069172
20240626,2,25,전체,0.01913545524924902,-0.0028616966028546242,0.021997151852103644
20240627,2,14,전체,-0.0009283322059754795,0.004942422217911968,-0.0058707544238874474
20240628,2,11,전체,-0.01172842367293027,0.002319663166322261,-0.014048086839252532
20240701,2,31,전체,0.012299340342191404,-0.00836212829537386,0.020661468637565267
20240702,2,15,전체,0.0035958529218382954,0.004728752975698303,-0.0011329000538600072
20240703,2,2,-1%이하,0.011037745569446353,0.011070110701106861,-3.236513166050836e-05
20240704,2,13,전체,0.006792907482499029,0.013200280359936922,-0.006407372877437893
20240705,2,10,전체,-0.0032209343719125936,-0.001561719358681768,-0.0016592150132308256
20240708,2,16,전체,-0.02435778308759446,0.0033662728850567536,-0.027724055972651214
