Strategy,Date,Country,Weight(%)
GDP (Prop),2001-03-30,Denmark,0.5374
GDP (Prop),2001-03-30,Spain,2.0273
GDP (Prop),2001-03-30,Italy,3.6349
GDP (Prop),2001-03-30,Hong Kong,0.5267
GDP (Prop),2001-03-30,Singapore,0.3101
GDP (Prop),2001-03-30,Belgium,0.7751
GDP (Prop),2001-03-30,Finland,0.4265
GDP (Prop),2001-03-30,Israel,0.4256
GDP (Prop),2001-03-30,Norway,0.5659
GDP (Prop),2001-03-30,Ireland,0.3574
GDP (Prop),2001-03-30,New Zealand,0.1701
GDP (Prop),2001-03-30,Austria,0.6465
GDP (Prop),2001-03-30,Portugal,0.3932
GDP (Prop),2001-03-30,China,3.7495
GDP (Prop),2001-03-30,India,1.5666
GDP (Prop),2001-03-30,Taiwan,1.0155
GDP (Prop),2001-03-30,Korea,1.8067
GDP (Prop),2001-03-30,Brazil,1.9928
GDP (Prop),2001-03-30,South Africa,0.4655
GDP (Prop),2001-03-30,Mexico,2.4463
GDP (Prop),2001-03-30,Indonesia,0.5087
GDP (Prop),2001-03-30,Malaysia,0.3003
GDP (Prop),2001-03-30,Thailand,0.3902
GDP (Prop),2001-03-30,Poland,0.5651
GDP (Prop),2001-03-30,Chile,0.2447
GDP (Prop),2001-03-30,Turkey,0.824
GDP (Prop),2001-03-30,Greece,0.4074
GDP (Prop),2001-03-30,Philippines,0.2427
GDP (Prop),2001-03-30,Hungary,0.1519
GDP (Prop),2001-03-30,Czech Republic,0.2153
GDP (Prop),2001-03-30,Colombia,0.2968
GDP (Prop),2001-03-30,Peru,0.1527
GDP (Prop),2001-06-29,USA,34.5608
GDP (Prop),2001-06-29,Japan,14.4309
GDP (Prop),2001-06-29,UK,5.3293
GDP (Prop),2001-06-29,France,4.3417
GDP (Prop),2001-06-29,Canada,2.4401
GDP (Prop),2001-06-29,Switzerland,0.9142
GDP (Prop),2001-06-29,Germany,6.2316
GDP (Prop),2001-06-29,Australia,1.2113
GDP (Prop),2001-06-29,Netherlands,1.3683
GDP (Prop),2001-06-29,Sweden,0.7948
GDP (Prop),2001-06-29,Denmark,0.52
GDP (Prop),2001-06-29,Spain,1.9726
GDP (Prop),2001-06-29,Italy,3.7218
GDP (Prop),2001-06-29,Hong Kong,0.5393
GDP (Prop),2001-06-29,Singapore,0.2925
GDP (Prop),2001-06-29,Belgium,0.7539
GDP (Prop),2001-06-29,Finland,0.4109
GDP (Prop),2001-06-29,Israel,0.4367
GDP (Prop),2001-06-29,Norway,0.566
GDP (Prop),2001-06-29,Ireland,0.346
GDP (Prop),2001-06-29,New Zealand,0.171
GDP (Prop),2001-06-29,Austria,0.6238
GDP (Prop),2001-06-29,Portugal,0.3838
GDP (Prop),2001-06-29,China,4.2116
GDP (Prop),2001-06-29,India,1.4768
GDP (Prop),2001-06-29,Taiwan,0.9735
GDP (Prop),2001-06-29,Korea,1.825
GDP (Prop),2001-06-29,Brazil,1.8432
GDP (Prop),2001-06-29,South Africa,0.4668
GDP (Prop),2001-06-29,Mexico,2.6341
GDP (Prop),2001-06-29,Indonesia,0.4832
GDP (Prop),2001-06-29,Malaysia,0.3132
GDP (Prop),2001-06-29,Thailand,0.3859
GDP (Prop),2001-06-29,Poland,0.6246
GDP (Prop),2001-06-29,Chile,0.2405
GDP (Prop),2001-06-29,Turkey,0.6502
GDP (Prop),2001-06-29,Greece,0.4024
GDP (Prop),2001-06-29,Philippines,0.2543
GDP (Prop),2001-06-29,Hungary,0.1724
GDP (Prop),2001-06-29,Czech Republic,0.2125
GDP (Prop),2001-06-29,Colombia,0.297
GDP (Prop),2001-06-29,Peru,0.1716
GDP (Prop),2001-09-28,USA,34.2646
GDP (Prop),2001-09-28,Japan,14.1847
GDP (Prop),2001-09-28,UK,5.3698
GDP (Prop),2001-09-28,France,4.4258
GDP (Prop),2001-09-28,Canada,2.3857
GDP (Prop),2001-09-28,Switzerland,0.9353
GDP (Prop),2001-09-28,Germany,6.3197
GDP (Prop),2001-09-28,Australia,1.2244
GDP (Prop),2001-09-28,Netherlands,1.3934
GDP (Prop),2001-09-28,Sweden,0.7286
GDP (Prop),2001-09-28,Denmark,0.5326
GDP (Prop),2001-09-28,Spain,2.0345
GDP (Prop),2001-09-28,Italy,3.6765
GDP (Prop),2001-09-28,Hong Kong,0.5586
GDP (Prop),2001-09-28,Singapore,0.2859
GDP (Prop),2001-09-28,Belgium,0.7623
GDP (Prop),2001-09-28,Finland,0.4181
GDP (Prop),2001-09-28,Israel,0.4256
