순위,날짜,종목코드,종목명,시장구분,업종명,등락률,KOSPI200_등락률,초과수익률
30,2026-03-05,371950,풍원정밀,KOSDAQ,전기·전자,24.64,9.63,15.01
31,2026-03-05,178320,서진시스템,KOSDAQ,전기·전자,24.2,9.63,14.57
32,2026-03-05,036930,주성엔지니어링,KOSDAQ,기계·장비,24.16,9.63,14.53
33,2026-03-05,092870,엑시콘,KOSDAQ,기계·장비,24.08,9.63,14.45
34,2026-03-05,078600,대주전자재료,KOSDAQ,전기·전자,24.07,9.63,14.44
35,2026-03-05,348080,큐라티스,KOSDAQ,일반서비스,23.93,9.63,14.3
36,2026-03-05,092220,KEC,KOSPI,전기·전자,23.83,9.63,14.2
37,2026-03-05,240810,원익IPS,KOSDAQ,기계·장비,23.53,9.63,13.9
38,2026-03-05,000250,삼천당제약,KOSDAQ,제약,23.41,9.63,13.78
39,2026-03-05,027360,아주IB투자,KOSDAQ,금융,23.4,9.63,13.77
40,2026-03-05,039030,이오테크닉스,KOSDAQ,기계·장비,23.37,9.63,13.74
41,2026-03-05,079550,LIG넥스원,KOSPI,금속,23.26,9.63,13.63
42,2026-03-05,095340,ISC,KOSDAQ,유통,23.25,9.63,13.62
43,2026-03-05,084370,유진테크,KOSDAQ,기계·장비,22.9,9.63,13.27
44,2026-03-05,000990,DB하이텍,KOSPI,전기·전자,22.9,9.63,13.27
45,2026-03-05,006110,삼아알미늄,KOSPI,금속,22.87,9.63,13.24
46,2026-03-05,064760,티씨케이,KOSDAQ,비금속,22.81,9.63,13.18
47,2026-03-05,229000,젠큐릭스,KOSDAQ,제약,22.63,9.63,13.0
48,2026-03-05,166090,하나머티리얼즈,KOSDAQ,전기·전자,22.63,9.63,13.0
49,2026-03-05,241520,DSC인베스트먼트,KOSDAQ,금융,22.45,9.63,12.82
50,2026-03-05,0009K0,에임드바이오,KOSDAQ,일반서비스,22.42,9.63,12.79
51,2026-03-05,448900,한국피아이엠,KOSDAQ,운송장비·부품,22.07,9.63,12.44
52,2026-03-05,0015G0,그린광학,KOSDAQ,의료·정밀기기,21.68,9.63,12.05
53,2026-03-05,417010,나노팀,KOSDAQ,기계·장비,21.65,9.63,12.02
54,2026-03-05,042700,한미반도체,KOSPI,기계·장비,21.62,9.63,11.99
55,2026-03-05,031980,피에스케이홀딩스,KOSDAQ,기계·장비,21.49,9.63,11.86
56,2026-03-05,080220,제주반도체,KOSDAQ,전기·전자,21.44,9.63,11.81
57,2026-03-05,319400,현대무벡스,KOSDAQ,기계·장비,21.37,9.63,11.74
58,2026-03-05,440110,파두,KOSDAQ,전기·전자,21.28,9.63,11.65
59,2026-03-05,289930,웨이비스,KOSDAQ,전기·전자,20.91,9.63,11.28
60,2026-03-05,008500,일정실업,KOSPI,섬유·의류,20.81,9.63,11.18
61,2026-03-05,189300,인텔리안테크,KOSDAQ,전기·전자,20.8,9.63,11.17
62,2026-03-05,053610,프로텍,KOSDAQ,기계·장비,20.65,9.63,11.02
63,2026-03-05,043260,성호전자,KOSDAQ,전기·전자,20.47,9.63,10.84
64,2026-03-05,089970,브이엠,KOSDAQ,기계·장비,20.46,9.63,10.83
65,2026-03-05,232830,아이티센피엔에스,KOSDAQ,IT 서비스,20.4,9.63,10.77
66,2026-03-05,099320,쎄트렉아이,KOSDAQ,운송장비·부품,20.37,9.63,10.74
67,2026-03-05,100790,미래에셋벤처투자,KOSDAQ,금융,20.34,9.63,10.71
68,2026-03-05,058470,리노공업,KOSDAQ,전기·전자,20.32,9.63,10.69
69,2026-03-05,199430,케이엔알시스템,KOSDAQ,의료·정밀기기,20.3,9.63,10.67
70,2026-03-05,086520,에코프로,KOSDAQ,금융,20.18,9.63,10.55
71,2026-03-05,226950,올릭스,KOSDAQ,일반서비스,20.13,9.63,10.5
72,2026-03-05,432720,퀄리타스반도체,KOSDAQ,전기·전자,20.12,9.63,10.49
73,2026-03-05,319660,피에스케이,KOSDAQ,기계·장비,20.04,9.63,10.41
74,2026-03-05,101170,우림피티에스,KOSDAQ,기계·장비,20.03,9.63,10.4
75,2026-03-05,322310,오로스테크놀로지,KOSDAQ,기계·장비,19.96,9.63,10.33
76,2026-03-05,052900,KX하이텍,KOSDAQ,화학,19.81,9.63,10.18
77,2026-03-05,098460,고영,KOSDAQ,기계·장비,19.77,9.63,10.14
78,2026-03-05,036810,에프에스티,KOSDAQ,전기·전자,19.77,9.63,10.14
79,2026-03-05,060250,NHN KCP,KOSDAQ,금융,19.69,9.63,10.06
80,2026-03-05,033240,자화전자,KOSPI,전기·전자,19.68,9.63,10.05
81,2026-03-05,080580,오킨스전자,KOSDAQ,전기·전자,19.67,9.63,10.04
82,2026-03-05,084110,휴온스글로벌,KOSDAQ,제약,19.62,9.63,9.99
83,2026-03-05,389020,자람테크놀로지,KOSDAQ,전기·전자,19.43,9.63,9.8
84,2026-03-05,290550,디케이티,KOSDAQ,전기·전자,19.26,9.63,9.63
85,2026-03-05,451220,아이엠티,KOSDAQ,기계·장비,19.2,9.63,9.57
86,2026-03-05,039440,에스티아이,KOSDAQ,기계·장비,19.15,9.63,9.52
87,2026-03-05,225190,LK삼양,KOSDAQ,의료·정밀기기,19.13,9.63,9.5
88,2026-03-05,417840,저스템,KOSDAQ,기계·장비,18.96,9.63,9.33
89,2026-03-05,086040,바이오톡스텍,KOSDAQ,일반서비스,18.95,9.63,9.32
90,2026-03-05,277810,레인보우로보틱스,KOSDAQ,기계·장비,18.89,9.63,9.26
91,2026-03-05,125490,한라캐스트,KOSDAQ,운송장비·부품,18.89,9.63,9.26
92,2026-03-05,095610,테스,KOSDAQ,기계·장비,18.84,9.63,9.21
93,2026-03-05,353200,대덕전자,KOSPI,전기·전자,18.84,9.63,9.21
94,2026-03-05,417500,제이아이테크,KOSDAQ,화학,18.75,9.63,9.12
95,2026-03-05,226590,엠디바이스,KOSDAQ,전기·전자,18.75,9.63,9.12
96,2026-03-05,227950,엔투텍,KOSDAQ,기계·장비,18.74,9.63,9.11
97,2026-03-05,295310,에이치브이엠,KOSDAQ,금속,18.67,9.63,9.04
98,2026-03-05,489790,한화비전,KOSPI,전기·전자,18.64,9.63,9.01
99,2026-03-05,016100,리더스코스메틱,KOSDAQ,종이·목재,18.51,9.63,8.88
100,2026-03-05,466100,클로봇,KOSDAQ,IT 서비스,18.5,9.63,8.87
101,2026-03-05,418420,라온텍,KOSDAQ,전기·전자,18.48,9.63,8.85
102,2026-03-05,039860,나노엔텍,KOSDAQ,의료·정밀기기,18.47,9.63,8.84
103,2026-03-05,403870,HPSP,KOSDAQ,기계·장비,18.45,9.63,8.82
104,2026-03-05,087010,펩트론,KOSDAQ,제약,18.41,9.63,8.78
105,2026-03-05,039490,키움증권,KOSPI,증권,18.39,9.63,8.76
106,2026-03-05,288330,파라택시스코리아,KOSDAQ,제약,18.0,9.63,8.37
107,2026-03-05,247540,에코프로비엠,KOSDAQ,전기·전자,18.0,9.63,8.37
108,2026-03-05,098120,마이크로컨텍솔,KOSDAQ,전기·전자,17.89,9.63,8.26
109,2026-03-05,218410,RFHIC,KOSDAQ,전기·전자,17.89,9.63,8.26
110,2026-03-05,003530,한화투자증권,KOSPI,증권,17.81,9.63,8.18
111,2026-03-05,290660,네오펙트,KOSDAQ,의료·정밀기기,17.79,9.63,8.16
112,2026-03-05,356860,티엘비,KOSDAQ,전기·전자,17.75,9.63,8.12
113,2026-03-05,064260,다날,KOSDAQ,IT 서비스,17.7,9.63,8.07
114,2026-03-05,281820,케이씨텍,KOSPI,의료·정밀기기,17.62,9.63,7.99
115,2026-03-05,140670,알에스오토메이션,KOSDAQ,전기·전자,17.61,9.63,7.98
116,2026-03-05,478340,나라스페이스테크놀로지,KOSDAQ,운송장비·부품,17.6,9.63,7.97
117,2026-03-05,099440,스맥,KOSDAQ,기계·장비,17.59,9.63,7.96
118,2026-03-05,246720,아스타,KOSDAQ,제약,17.56,9.63,7.93
119,2026-03-05,347850,디앤디파마텍,KOSDAQ,일반서비스,17.43,9.63,7.8
120,2026-03-05,380540,옵티코어,KOSDAQ,전기·전자,17.42,9.63,7.79
121,2026-03-05,079370,제우스,KOSDAQ,기계·장비,17.4,9.63,7.77
122,2026-03-05,160980,싸이맥스,KOSDAQ,기계·장비,17.4,9.63,7.77
123,2026-03-05,001510,SK증권,KOSPI,증권,17.37,9.63,7.74
124,2026-03-05,141080,리가켐바이오,KOSDAQ,일반서비스,17.36,9.63,7.73
125,2026-03-05,059120,아진엑스텍,KOSDAQ,전기·전자,17.34,9.63,7.71
126,2026-03-05,215790,이노인스트루먼트,KOSDAQ,전기·전자,17.31,9.63,7.68
127,2026-03-05,174900,앱클론,KOSDAQ,제약,17.3,9.63,7.67
128,2026-03-05,396300,세아메카닉스,KOSDAQ,금속,17.24,9.63,7.61
129,2026-03-05,092070,디엔에프,KOSDAQ,화학,17.24,9.63,7.61
130,2026-03-05,361390,제노코,KOSDAQ,전기·전자,17.2,9.63,7.57
131,2026-03-05,117670,알파칩스,KOSDAQ,전기·전자,17.2,9.63,7.57
132,2026-03-05,006890,태경케미컬,KOSPI,화학,17.14,9.63,7.51
133,2026-03-05,097230,HJ중공업,KOSPI,건설,17.11,9.63,7.48
134,2026-03-05,006910,보성파워텍,KOSDAQ,금속,17.09,9.63,7.46
135,2026-03-05,036830,솔브레인홀딩스,KOSDAQ,일반서비스,17.08,9.63,7.45
136,2026-03-05,036540,SFA반도체,KOSDAQ,전기·전자,17.08,9.63,7.45
137,2026-03-05,058610,에스피지,KOSDAQ,전기·전자,17.07,9.63,7.44
138,2026-03-05,078860,스테이지원엔터,KOSDAQ,오락·문화,17.04,9.63,7.41
139,2026-03-05,046890,서울반도체,KOSDAQ,전기·전자,17.02,9.63,7.39
140,2026-03-05,007660,이수페타시스,KOSPI,전기·전자,17.0,9.63,7.37
141,2026-03-05,491000,리브스메드,KOSDAQ,의료·정밀기기,16.96,9.63,7.33
142,2026-03-05,204270,제이앤티씨,KOSDAQ,전기·전자,16.94,9.63,7.31
143,2026-03-05,008350,남선알미늄,KOSPI,금속,16.92,9.63,7.29
144,2026-03-05,389030,지니너스,KOSDAQ,일반서비스,16.86,9.63,7.23
145,2026-03-05,138080,오이솔루션,KOSDAQ,전기·전자,16.86,9.63,7.23
146,2026-03-05,267320,나인테크,KOSDAQ,기계·장비,16.79,9.63,7.16
147,2026-03-05,011930,신성이엔지,KOSPI,전기·전자,16.77,9.63,7.14
148,2026-03-05,030530,원익홀딩스,KOSDAQ,화학,16.76,9.63,7.13
149,2026-03-05,253590,네오셈,KOSDAQ,기계·장비,16.75,9.63,7.12
150,2026-03-05,333430,일승,KOSDAQ,운송장비·부품,16.74,9.63,7.11
151,2026-03-05,293580,나우IB,KOSDAQ,금융,16.71,9.63,7.08
152,2026-03-05,101930,인화정공,KOSDAQ,운송장비·부품,16.67,9.63,7.04
153,2026-03-05,105840,우진,KOSPI,의료·정밀기기,16.67,9.63,7.04
154,2026-03-05,488900,비츠로넥스텍,KOSDAQ,운송장비·부품,16.63,9.63,7.0
155,2026-03-05,161580,필옵틱스,KOSDAQ,기계·장비,16.58,9.63,6.95
156,2026-03-05,006405,삼성SDI우,KOSPI,전기·전자,16.58,9.63,6.95
157,2026-03-05,009470,삼화전기,KOSPI,전기·전자,16.49,9.63,6.86
158,2026-03-05,009835,한화솔루션우,KOSPI,화학,16.42,9.63,6.79
159,2026-03-05,232140,와이씨,KOSDAQ,기계·장비,16.38,9.63,6.75
160,2026-03-05,294140,레몬,KOSDAQ,화학,16.33,9.63,6.7
161,2026-03-05,217190,제너셈,KOSDAQ,기계·장비,16.3,9.63,6.67
162,2026-03-05,148780,비큐AI,KOSDAQ,IT 서비스,16.23,9.63,6.6
163,2026-03-05,078160,메디포스트,KOSDAQ,제약,16.22,9.63,6.59
164,2026-03-05,007810,코리아써키트,KOSPI,전기·전자,16.19,9.63,6.56
165,2026-03-05,336260,두산퓨얼셀,KOSPI,전기·전자,16.18,9.63,6.55
166,2026-03-05,200780,비씨월드제약,KOSDAQ,제약,16.18,9.63,6.55
167,2026-03-05,033170,시그네틱스,KOSDAQ,전기·전자,16.14,9.63,6.51
168,2026-03-05,045340,토탈소프트,KOSDAQ,IT 서비스,16.14,9.63,6.51
169,2026-03-05,121600,나노신소재,KOSDAQ,화학,16.1,9.63,6.47
170,2026-03-05,011210,현대위아,KOSPI,운송장비·부품,16.07,9.63,6.44
171,2026-03-05,096770,SK이노베이션,KOSPI,화학,16.06,9.63,6.43
172,2026-03-05,456010,아이씨티케이,KOSDAQ,전기·전자,16.05,9.63,6.42
173,2026-03-05,425040,티이엠씨,KOSDAQ,화학,16.02,9.63,6.39
174,2026-03-05,054540,삼영엠텍,KOSDAQ,금속,16.02,9.63,6.39
175,2026-03-05,254490,미래반도체,KOSDAQ,유통,15.98,9.63,6.35
176,2026-03-05,394280,오픈엣지테크놀로지,KOSDAQ,IT 서비스,15.97,9.63,6.34
177,2026-03-05,077360,덕산하이메탈,KOSDAQ,전기·전자,15.96,9.63,6.33
178,2026-03-05,025900,동화기업,KOSDAQ,종이·목재,15.95,9.63,6.32
179,2026-03-05,102120,어보브반도체,KOSDAQ,전기·전자,15.93,9.63,6.3
180,2026-03-05,272110,케이엔제이,KOSDAQ,전기·전자,15.89,9.63,6.26
181,2026-03-05,067310,하나마이크론,KOSDAQ,전기·전자,15.89,9.63,6.26
182,2026-03-05,059270,해성에어로보틱스,KOSDAQ,금속,15.89,9.63,6.26
183,2026-03-05,222800,심텍,KOSDAQ,전기·전자,15.87,9.63,6.24
184,2026-03-05,083310,엘오티베큠,KOSDAQ,기계·장비,15.85,9.63,6.22
185,2026-03-05,270520,앱튼,KOSDAQ,일반서비스,15.85,9.63,6.22
186,2026-03-05,330860,네패스아크,KOSDAQ,일반서비스,15.83,9.63,6.2
187,2026-03-05,298380,에이비엘바이오,KOSDAQ,제약,15.83,9.63,6.2
188,2026-03-05,445090,에이직랜드,KOSDAQ,전기·전자,15.82,9.63,6.19
189,2026-03-05,317830,에스피시스템스,KOSDAQ,기계·장비,15.81,9.63,6.18
190,2026-03-05,445680,큐리옥스바이오시스템즈,KOSDAQ,의료·정밀기기,15.81,9.63,6.18
191,2026-03-05,322000,HD현대에너지솔루션,KOSPI,전기·전자,15.81,9.63,6.18
192,2026-03-05,437730,삼현,KOSDAQ,운송장비·부품,15.77,9.63,6.14
193,2026-03-05,010140,삼성중공업,KOSPI,운송장비·부품,15.74,9.63,6.11
194,2026-03-05,099410,동방선기,KOSDAQ,운송장비·부품,15.73,9.63,6.1
195,2026-03-05,315640,딥노이드,KOSDAQ,IT 서비스,15.71,9.63,6.08
196,2026-03-05,417970,모델솔루션,KOSDAQ,기계·장비,15.69,9.63,6.06
197,2026-03-05,380550,뉴로핏,KOSDAQ,IT 서비스,15.65,9.63,6.02
198,2026-03-05,101490,에스앤에스텍,KOSDAQ,전기·전자,15.64,9.63,6.01
199,2026-03-05,365270,큐라클,KOSDAQ,일반서비스,15.62,9.63,5.99
200,2026-03-05,090360,로보스타,KOSDAQ,기계·장비,15.62,9.63,5.99
201,2026-03-05,089790,제이티,KOSDAQ,기계·장비,15.61,9.63,5.98
202,2026-03-05,011500,한농화성,KOSPI,화학,15.6,9.63,5.97
203,2026-03-05,126730,코칩,KOSDAQ,전기·전자,15.59,9.63,5.96
204,2026-03-05,001290,상상인증권,KOSPI,증권,15.54,9.63,5.91
205,2026-03-05,317330,덕산테코피아,KOSDAQ,화학,15.49,9.63,5.86
206,2026-03-05,222080,씨아이에스,KOSDAQ,기계·장비,15.47,9.63,5.84
207,2026-03-05,093520,매커스,KOSDAQ,유통,15.46,9.63,5.83
208,2026-03-05,115160,휴맥스,KOSDAQ,전기·전자,15.45,9.63,5.82
209,2026-03-05,131030,옵투스제약,KOSDAQ,제약,15.43,9.63,5.8
210,2026-03-05,445180,퓨릿,KOSDAQ,화학,15.41,9.63,5.78
211,2026-03-05,074600,원익QnC,KOSDAQ,비금속,15.41,9.63,5.78
212,2026-03-05,005070,코스모신소재,KOSPI,화학,15.41,9.63,5.78
213,2026-03-05,425420,티에프이,KOSDAQ,전기·전자,15.41,9.63,5.78
214,2026-03-05,092190,서울바이오시스,KOSDAQ,전기·전자,15.41,9.63,5.78
215,2026-03-05,006800,미래에셋증권,KOSPI,증권,15.4,9.63,5.77
216,2026-03-05,081180,쎄크,KOSDAQ,기계·장비,15.39,9.63,5.76
217,2026-03-05,490470,세미파이브,KOSDAQ,일반서비스,15.37,9.63,5.74
218,2026-03-05,232680,라온로보틱스,KOSDAQ,기계·장비,15.35,9.63,5.72
219,2026-03-05,451760,컨텍,KOSDAQ,IT 서비스,15.3,9.63,5.67
220,2026-03-05,405100,큐알티,KOSDAQ,일반서비스,15.27,9.63,5.64
221,2026-03-05,036630,세종텔레콤,KOSDAQ,건설,15.27,9.63,5.64
222,2026-03-05,259630,엠플러스,KOSDAQ,기계·장비,15.27,9.63,5.64
223,2026-03-05,036200,유니셈,KOSDAQ,기계·장비,15.25,9.63,5.62
224,2026-03-05,0120G0,삼양바이오팜,KOSPI,제약,15.22,9.63,5.59
225,2026-03-05,322510,제이엘케이,KOSDAQ,IT 서비스,15.21,9.63,5.58
226,2026-03-05,381620,제닉스로보틱스,KOSDAQ,기계·장비,15.21,9.63,5.58
227,2026-03-05,089010,켐트로닉스,KOSDAQ,화학,15.2,9.63,5.57
228,2026-03-05,025560,미래산업,KOSPI,의료·정밀기기,15.16,9.63,5.53
229,2026-03-05,104830,원익머트리얼즈,KOSDAQ,화학,15.15,9.63,5.52
230,2026-03-05,453450,그리드위즈,KOSDAQ,일반서비스,15.13,9.63,5.5
231,2026-03-05,223310,사토시홀딩스,KOSDAQ,유통,15.12,9.63,5.49
232,2026-03-05,160190,하이젠알앤엠,KOSDAQ,전기·전자,15.11,9.63,5.48
233,2026-03-05,212710,아이에스티이,KOSDAQ,전기·전자,15.08,9.63,5.45
234,2026-03-05,214180,헥토이노베이션,KOSDAQ,IT 서비스,15.07,9.63,5.44
235,2026-03-05,019990,에너토크,KOSDAQ,기계·장비,15.07,9.63,5.44
236,2026-03-05,023590,다우기술,KOSPI,IT 서비스,15.06,9.63,5.43
237,2026-03-05,317690,퀀타매트릭스,KOSDAQ,의료·정밀기기,15.06,9.63,5.43
238,2026-03-05,010820,퍼스텍,KOSPI,금속,15.05,9.63,5.42
239,2026-03-05,117730,티로보틱스,KOSDAQ,기계·장비,15.05,9.63,5.42
240,2026-03-05,126340,비나텍,KOSDAQ,전기·전자,15.02,9.63,5.39
241,2026-03-05,060260,뉴보텍,KOSDAQ,화학,15.01,9.63,5.38
242,2026-03-05,327260,RF머트리얼즈,KOSDAQ,전기·전자,15.01,9.63,5.38
243,2026-03-05,101330,모베이스,KOSDAQ,전기·전자,15.01,9.63,5.38
244,2026-03-05,321370,센서뷰,KOSDAQ,전기·전자,15.0,9.63,5.37
245,2026-03-05,209640,와이제이링크,KOSDAQ,기계·장비,15.0,9.63,5.37
246,2026-03-05,358570,지아이이노베이션,KOSDAQ,일반서비스,14.99,9.63,5.36
247,2026-03-05,306620,지아이에스,KOSDAQ,기계·장비,14.94,9.63,5.31
248,2026-03-05,214370,케어젠,KOSDAQ,제약,14.93,9.63,5.3
249,2026-03-05,393890,더블유씨피,KOSDAQ,전기·전자,14.92,9.63,5.29
250,2026-03-05,310210,보로노이,KOSDAQ,일반서비스,14.88,9.63,5.25
251,2026-03-05,282720,금양그린파워,KOSDAQ,건설,14.88,9.63,5.25
252,2026-03-05,464500,아이언디바이스,KOSDAQ,전기·전자,14.87,9.63,5.24
253,2026-03-05,092200,디아이씨,KOSPI,운송장비·부품,14.83,9.63,5.2
254,2026-03-05,389470,인벤티지랩,KOSDAQ,일반서비스,14.81,9.63,5.18
255,2026-03-05,066970,엘앤에프,KOSPI,전기·전자,14.81,9.63,5.18
256,2026-03-05,107600,새빗켐,KOSDAQ,화학,14.78,9.63,5.15
257,2026-03-05,049950,미래컴퍼니,KOSDAQ,기계·장비,14.77,9.63,5.14
258,2026-03-05,183300,코미코,KOSDAQ,기계·장비,14.75,9.63,5.12
259,2026-03-05,102370,케이옥션,KOSDAQ,유통,14.73,9.63,5.1
260,2026-03-05,462350,이노스페이스,KOSDAQ,운송장비·부품,14.7,9.63,5.07
261,2026-03-05,088340,유라클,KOSDAQ,IT 서비스,14.7,9.63,5.07
262,2026-03-05,474170,루미르,KOSDAQ,운송장비·부품,14.69,9.63,5.06
263,2026-03-05,094170,동운아나텍,KOSDAQ,전기·전자,14.69,9.63,5.06
264,2026-03-05,205100,엑셈,KOSDAQ,IT 서비스,14.68,9.63,5.05
265,2026-03-05,078590,휴림에이텍,KOSDAQ,운송장비·부품,14.65,9.63,5.02
266,2026-03-05,130660,한전산업,KOSPI,일반서비스,14.65,9.63,5.02
267,2026-03-05,399720,가온칩스,KOSDAQ,전기·전자,14.58,9.63,4.95
268,2026-03-05,011080,형지I&C,KOSDAQ,섬유·의류,14.58,9.63,4.95
269,2026-03-05,049470,비트플래닛,KOSDAQ,IT 서비스,14.56,9.63,4.93
270,2026-03-05,137400,피엔티,KOSDAQ,기계·장비,14.56,9.63,4.93
271,2026-03-05,114810,한솔아이원스,KOSDAQ,기계·장비,14.53,9.63,4.9
272,2026-03-05,048770,TPC,KOSDAQ,기계·장비,14.52,9.63,4.89
273,2026-03-05,417200,LS머트리얼즈,KOSDAQ,전기·전자,14.52,9.63,4.89
274,2026-03-05,177900,쓰리에이로직스,KOSDAQ,전기·전자,14.51,9.63,4.88
275,2026-03-05,005290,동진쎄미켐,KOSDAQ,화학,14.51,9.63,4.88
276,2026-03-05,424980,마이크로투나노,KOSDAQ,전기·전자,14.51,9.63,4.88
277,2026-03-05,220260,켐트로스,KOSDAQ,화학,14.5,9.63,4.87
278,2026-03-05,314130,지놈앤컴퍼니,KOSDAQ,제약,14.49,9.63,4.86
279,2026-03-05,033130,디지틀조선,KOSDAQ,IT 서비스,14.47,9.63,4.84
280,2026-03-05,119850,지엔씨에너지,KOSDAQ,전기·전자,14.45,9.63,4.82
281,2026-03-05,264850,이랜시스,KOSDAQ,전기·전자,14.45,9.63,4.82
282,2026-03-05,281740,레이크머티리얼즈,KOSDAQ,화학,14.44,9.63,4.81
283,2026-03-05,457550,우진엔텍,KOSDAQ,일반서비스,14.42,9.63,4.79
284,2026-03-05,475400,씨메스,KOSDAQ,기계·장비,14.42,9.63,4.79
285,2026-03-05,389500,에스비비테크,KOSDAQ,기계·장비,14.41,9.63,4.78
286,2026-03-05,455180,케이지에이,KOSDAQ,기계·장비,14.4,9.63,4.77
287,2026-03-05,191410,육일씨엔에쓰,KOSDAQ,전기·전자,14.4,9.63,4.77
288,2026-03-05,010690,화신,KOSPI,운송장비·부품,14.37,9.63,4.74
289,2026-03-05,289080,SV인베스트먼트,KOSDAQ,금융,14.36,9.63,4.73
290,2026-03-05,006805,미래에셋증권우,KOSPI,증권,14.36,9.63,4.73
291,2026-03-05,194480,데브시스터즈,KOSDAQ,IT 서비스,14.35,9.63,4.72
292,2026-03-05,382150,온코크로스,KOSDAQ,일반서비스,14.33,9.63,4.7
293,2026-03-05,464080,에스오에스랩,KOSDAQ,의료·정밀기기,14.32,9.63,4.69
294,2026-03-05,464580,닷밀,KOSDAQ,오락·문화,14.32,9.63,4.69
295,2026-03-05,024850,HLB이노베이션,KOSDAQ,전기·전자,14.31,9.63,4.68
296,2026-03-05,200710,에이디테크놀로지,KOSDAQ,전기·전자,14.29,9.63,4.66
297,2026-03-05,145720,덴티움,KOSPI,의료·정밀기기,14.29,9.63,4.66
298,2026-03-05,450080,에코프로머티,KOSPI,전기·전자,14.29,9.63,4.66
299,2026-03-05,360070,탑머티리얼,KOSDAQ,전기·전자,14.29,9.63,4.66
300,2026-03-05,397030,에이프릴바이오,KOSDAQ,일반서비스,14.29,9.63,4.66
301,2026-03-05,005950,이수화학,KOSPI,화학,14.25,9.63,4.62
302,2026-03-05,432470,케이엔에스,KOSDAQ,기계·장비,14.24,9.63,4.61
303,2026-03-05,033340,좋은사람들,KOSDAQ,섬유·의류,14.23,9.63,4.6
304,2026-03-05,052710,아모텍,KOSDAQ,전기·전자,14.2,9.63,4.57
305,2026-03-05,025980,아난티,KOSDAQ,일반서비스,14.19,9.63,4.56
306,2026-03-05,077970,STX엔진,KOSPI,기계·장비,14.18,9.63,4.55
307,2026-03-05,129920,대성하이텍,KOSDAQ,기계·장비,14.17,9.63,4.54
308,2026-03-05,009730,이렘,KOSDAQ,금속,14.16,9.63,4.53
309,2026-03-05,064550,바이오니아,KOSDAQ,제약,14.15,9.63,4.52
310,2026-03-05,462510,라메디텍,KOSDAQ,의료·정밀기기,14.15,9.63,4.52
311,2026-03-05,452190,한빛레이저,KOSDAQ,기계·장비,14.13,9.63,4.5
312,2026-03-05,388870,파로스아이바이오,KOSDAQ,일반서비스,14.13,9.63,4.5
313,2026-03-05,457190,이수스페셜티케미컬,KOSPI,화학,14.12,9.63,4.49
314,2026-03-05,299030,하나기술,KOSDAQ,기계·장비,14.11,9.63,4.48
315,2026-03-05,223250,드림씨아이에스,KOSDAQ,일반서비스,14.08,9.63,4.45
