"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 11","428.07","429.03","433.96","427.08","147.99M","-0.08%"
"2025- 07- 10","428.42","423.43","428.42","421.88","158.41M","1.52%"
"2025- 07- 09","422.02","421.74","423.01","419.33","152.09M","0.19%"
"2025- 07- 08","421.22","414.79","421.47","413.97","154.53M","1.99%"
"2025- 07- 07","413.02","410.69","414.53","408.89","114.60M","0.07%"
"2025- 07- 04","412.74","422.24","422.56","412.30","159.95M","-1.95%"
"2025- 07- 03","420.94","418.31","420.94","416.12","165.61M","1.57%"
"2025- 07- 02","414.43","415.40","416.57","408.59","156.95M","-0.44%"
"2025- 07- 01","416.26","417.11","423.07","416.21","169.36M","0.40%"
"2025- 06- 30","414.60","415.28","416.98","413.17","141.12M","0.46%"
"2025- 06- 27","412.72","415.36","417.82","410.56","145.81M","-0.71%"
"2025- 06- 26","415.66","419.73","420.60","409.86","197.10M","-0.92%"
"2025- 06- 25","419.51","421.65","422.01","415.64","227.19M","0.42%"
"2025- 06- 24","417.76","411.42","418.14","411.23","236.37M","3.32%"
"2025- 06- 23","404.32","400.85","405.25","397.91","211.66M","-0.25%"
"2025- 06- 20","405.32","400.69","405.37","399.00","215.52M","1.51%"
"2025- 06- 19","399.29","401.62","402.54","396.33","155.45M","0.11%"
"2025- 06- 18","398.86","392.64","399.94","392.64","154.51M","0.93%"
"2025- 06- 17","395.18","395.82","402.33","392.45","219.24M","0.26%"
"2025- 06- 16","394.16","388.70","394.40","386.16","165.01M","1.77%"
"2025- 06- 13","387.30","392.55","392.88","385.05","203.87M","-0.85%"
"2025- 06- 12","390.62","390.11","393.02","389.46","219.81M","0.21%"
"2025- 06- 11","389.79","387.12","390.02","386.14","167.98M","1.30%"
"2025- 06- 10","384.79","385.40","386.81","381.71","211.02M","0.47%"
"2025- 06- 09","382.99","381.25","385.03","380.93","188.37M","1.71%"
"2025- 06- 05","376.54","372.72","379.60","372.35","174.15M","1.80%"
"2025- 06- 04","369.90","365.51","369.95","364.86","169.81M","2.84%"
"2025- 06- 02","359.69","358.76","362.96","357.68","112.83M","0.02%"
"2025- 05- 30","359.62","361.91","362.84","358.81","204.23M","-0.95%"
"2025- 05- 29","363.08","359.51","363.29","358.61","153.16M","1.89%"
"2025- 05- 28","356.36","353.06","359.46","352.26","161.18M","1.45%"
"2025- 05- 27","351.28","349.95","351.84","349.37","126.63M","-0.24%"
"2025- 05- 26","352.11","346.07","352.11","345.53","117.09M","1.98%"
"2025- 05- 23","345.28","346.43","346.87","344.81","108.33M","0.14%"
"2025- 05- 22","344.80","347.66","348.02","343.93","108.07M","-1.31%"
"2025- 05- 21","349.38","349.15","351.03","348.66","99.96M","0.68%"
"2025- 05- 20","347.02","349.43","350.04","346.39","101.49M","0.13%"
"2025- 05- 19","346.57","348.38","348.86","345.08","93.47M","-1.11%"
"2025- 05- 16","350.45","350.56","351.23","349.34","105.63M","0.37%"
"2025- 05- 15","349.16","350.89","352.60","348.63","93.83M","-0.75%"
"2025- 05- 14","351.79","350.06","353.00","349.25","118.49M","1.33%"
"2025- 05- 13","347.17","346.52","349.18","346.22","114.46M","0.03%"
"2025- 05- 12","347.08","343.93","347.08","343.08","117.12M","1.64%"
"2025- 05- 09","341.49","342.77","343.14","340.62","88.75M","0.01%"
"2025- 05- 08","341.47","342.44","343.55","341.43","124.22M","0.05%"
"2025- 05- 07","341.31","341.28","342.37","339.24","117.36M","0.74%"
"2025- 05- 02","338.79","338.67","339.88","336.14","101.87M","0.01%"
"2025- 04- 30","338.74","338.62","340.17","336.71","111.23M","-0.09%"
"2025- 04- 29","339.06","337.48","340.57","336.43","117.95M","0.59%"
"2025- 04- 28","337.08","337.25","338.32","336.07","115.69M","0.06%"
"2025- 04- 25","336.87","336.85","338.07","335.47","127.76M","0.94%"
"2025- 04- 24","333.72","333.87","334.74","331.54","90.95M","-0.07%"
"2025- 04- 23","333.94","333.51","334.20","331.72","87.70M","1.62%"
"2025- 04- 22","328.61","328.14","330.10","327.38","73.90M","-0.21%"
"2025- 04- 21","329.31","328.76","330.88","327.80","66.11M","0.29%"
"2025- 04- 18","328.35","326.42","328.89","325.81","72.52M","0.63%"
"2025- 04- 17","326.30","324.08","326.82","323.28","78.79M","0.86%"
"2025- 04- 16","323.53","326.99","327.50","322.81","79.53M","-1.40%"
"2025- 04- 15","328.14","326.62","329.09","326.40","73.74M","0.86%"
"2025- 04- 14","325.33","325.52","327.25","324.58","77.71M","0.93%"
"2025- 04- 11","322.32","318.72","322.68","317.73","98.53M","-0.85%"
"2025- 04- 10","325.08","318.62","325.08","318.13","135.65M","6.75%"
"2025- 04- 09","304.53","309.23","310.90","303.41","116.81M","-1.77%"
"2025- 04- 08","310.03","317.07","317.43","309.25","115.95M","0.14%"
"2025- 04- 07","309.60","313.52","315.30","309.40","140.75M","-5.80%"
"2025- 04- 04","328.67","327.37","335.11","324.84","133.84M","-1.28%"
