정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스닥수익률(벤치마크),초과수익률,초과승리여부
2025-03-13,2024-09-12,A456070,이엔셀,중형주→소형주,중형주,소형주,0.00250954,0.00161398,-0.00089556,0.00386859,778361,301085,3011.2,485.9,-2525.2,-25.25,0,17180.0,17400.0,0.012806,-0.009171,0.021976,1
2025-03-13,2024-09-12,A126340,비나텍,중형주→소형주,중형주,소형주,0.00214189,0.00134637,-0.00079551,0.00332025,778361,301085,2584.4,405.4,-2179.0,-21.79,0,24750.0,24500.0,-0.010101,-0.009171,-0.00093,0
2025-03-13,2024-09-12,A243840,신흥에스이씨,중형주→소형주,중형주,소형주,0.00254975,0.0015772,-0.00097254,0.00454605,778361,301085,3538.5,474.9,-3063.6,-30.64,0,4830.0,4705.0,-0.02588,-0.009171,-0.016709,0
2025-03-13,2024-09-12,A039840,디오,중형주→소형주,중형주,소형주,0.00318434,0.00201304,-0.0011713,0.00376777,778361,301085,2932.7,606.1,-2326.6,-23.27,0,15670.0,15600.0,-0.004467,-0.009171,0.004704,1
2025-03-13,2024-09-12,A393890,더블유씨피,대형주→중형주,대형주,중형주,0.00169999,0.00415675,0.00245676,0.00365521,3381521,778361,12360.2,3235.5,-9124.7,-91.25,0,8750.0,8810.0,0.006857,-0.009171,0.016028,1
2025-03-13,2024-09-12,A200710,에이디테크놀로지,중형주→소형주,중형주,소형주,0.00321962,0.00198659,-0.00123302,0.00390551,778361,301085,3039.9,598.1,-2441.8,-24.42,0,17660.0,17160.0,-0.028313,-0.009171,-0.019142,0
2025-03-13,2024-09-12,A095700,제넥신,중형주→소형주,중형주,소형주,0.00253262,0.00159842,-0.00093419,0.00377795,778361,301085,2940.6,481.3,-2459.3,-24.59,0,4100.0,4075.0,-0.006098,-0.009171,0.003073,1
2025-03-13,2024-09-12,A023160,태광,중형주→대형주,중형주,대형주,0.00880643,0.00350234,-0.00530408,0.00520766,778361,3381521,4053.4,11843.2,7789.8,77.9,1,24500.0,23550.0,-0.038776,-0.009171,-0.029605,0
2025-03-13,2024-09-12,A337930,젝시믹스,중형주→소형주,중형주,소형주,0.00254452,0.00161326,-0.00093126,0.00395481,778361,301085,3078.3,485.7,-2592.5,-25.93,0,6400.0,6390.0,-0.001563,-0.009171,0.007608,1
2025-03-13,2024-09-12,A356680,엑스게이트,소형주→중형주,소형주,중형주,0.00217691,0.0035496,0.00137268,0.00111341,301085,778361,335.2,2762.9,2427.6,24.28,1,8630.0,8920.0,0.033604,-0.009171,0.042774,1
2025-03-13,2024-09-12,A101930,인화정공,소형주→중형주,소형주,중형주,0.00264706,0.00410214,0.00145508,0.00168069,301085,778361,506.0,3193.0,2686.9,26.87,1,31150.0,30600.0,-0.017657,-0.009171,-0.008486,0
2025-03-13,2024-09-12,A352480,씨앤씨인터내셔널,대형주→중형주,대형주,중형주,0.00238285,0.00619164,0.00380879,0.00560931,3381521,778361,18968.0,4819.3,-14148.7,-141.49,0,41450.0,44350.0,0.069964,-0.009171,0.079135,1
2025-03-13,2024-09-12,A461030,아이엠비디엑스,중형주→소형주,중형주,소형주,0.00192038,0.00121221,-0.00070817,0.00357137,778361,301085,2779.8,365.0,-2414.8,-24.15,0,10100.0,10040.0,-0.005941,-0.009171,0.00323,1
2025-03-13,2024-09-12,A051370,인터플렉스,중형주→소형주,중형주,소형주,0.00293316,0.00184047,-0.00109268,0.00377623,778361,301085,2939.3,554.1,-2385.1,-23.85,0,9270.0,9160.0,-0.011866,-0.009171,-0.002695,0
2025-03-13,2024-09-12,A025950,동신건설,소형주→중형주,소형주,중형주,0.00366344,0.00587882,0.00221537,0.00148669,301085,778361,447.6,4575.8,4128.2,41.28,1,49350.0,50200.0,0.017224,-0.009171,0.026395,1
2025-03-13,2024-09-12,A388720,유일로보틱스,중형주→대형주,중형주,대형주,0.01034218,0.00413726,-0.00620492,0.00547756,778361,3381521,4263.5,13990.2,9726.7,97.27,1,66400.0,64200.0,-0.033133,-0.009171,-0.023962,0
2025-03-13,2024-09-12,A101490,에스앤에스텍,중형주→대형주,중형주,대형주,0.00899089,0.00378616,-0.00520473,0.00777202,778361,3381521,6049.4,12803.0,6753.5,67.54,1,30900.0,31450.0,0.017799,-0.009171,0.02697,1
2025-03-13,2024-09-12,A077360,덕산하이메탈,중형주→소형주,중형주,소형주,0.00253919,0.00156739,-0.00097179,0.00339121,778361,301085,2639.6,471.9,-2167.7,-21.68,0,4120.0,4005.0,-0.027913,-0.009171,-0.018742,0
2025-03-13,2024-09-12,A439580,블루엠텍,중형주→소형주,중형주,소형주,0.00170907,0.00104293,-0.00066613,0.00375428,778361,301085,2922.2,314.0,-2608.2,-26.08,0,11280.0,10840.0,-0.039007,-0.009171,-0.029836,0
2025-03-13,2024-09-12,A078160,메디포스트,소형주→중형주,소형주,중형주,0.00252802,0.0038259,0.00129787,0.00171138,301085,778361,515.3,2977.9,2462.7,24.63,1,8360.0,8020.0,-0.04067,-0.009171,-0.031499,0
2025-03-13,2024-09-12,A051980,중앙첨단소재,대형주→중형주,대형주,중형주,0.00267134,0.0066413,0.00396996,0.00608875,3381521,778361,20589.2,5169.3,-15419.9,-154.2,0,4620.0,4700.0,0.017316,-0.009171,0.026487,1
2025-03-13,2024-09-12,A030530,원익홀딩스,소형주→중형주,소형주,중형주,0.00324226,0.00486717,0.00162491,0.00166286,301085,778361,500.7,3788.4,3287.8,32.88,1,4750.0,4520.0,-0.048421,-0.009171,-0.03925,0
2025-03-13,2024-09-12,A086980,쇼박스,중형주→소형주,중형주,소형주,0.0025786,0.00160776,-0.00097085,0.00344044,778361,301085,2677.9,484.1,-2193.8,-21.94,0,3035.0,2980.0,-0.018122,-0.009171,-0.008951,0
2025-03-13,2024-09-12,A082920,비츠로셀,중형주→대형주,중형주,대형주,0.00808172,0.00338871,-0.00469301,0.00616867,778361,3381521,4801.5,11459.0,6657.5,66.58,1,26050.0,26400.0,0.013436,-0.009171,0.022606,1
2025-03-13,2024-09-12,A082800,비보존 제약,소형주→중형주,소형주,중형주,0.00301542,0.00463824,0.00162282,0.00153776,301085,778361,463.0,3610.2,3147.2,31.47,1,6810.0,6640.0,-0.024963,-0.009171,-0.015792,0
2025-03-13,2024-09-12,A053800,안랩,중형주→대형주,중형주,대형주,0.01100206,0.00450211,-0.00649996,0.007619,778361,3381521,5930.3,15224.0,9293.6,92.94,1,72900.0,72100.0,-0.010974,-0.009171,-0.001803,0
2025-03-13,2024-09-12,A092040,아미코젠,중형주→소형주,중형주,소형주,0.00261194,0.00165623,-0.00095571,0.00349236,778361,301085,2718.3,498.7,-2219.7,-22.2,0,3500.0,3495.0,-0.001429,-0.009171,0.007742,1
2025-03-13,2024-09-12,A144960,뉴파워프라즈마,중형주→소형주,중형주,소형주,0.00286841,0.00180829,-0.00106012,0.00328634,778361,301085,2558.0,544.4,-2013.5,-20.14,0,4840.0,4805.0,-0.007231,-0.009171,0.001939,1
2025-03-13,2024-09-12,A078140,대봉엘에스,중형주→소형주,중형주,소형주,0.00246169,0.00158229,-0.0008794,0.00363114,778361,301085,2826.3,476.4,-2349.9,-23.5,0,16370.0,16570.0,0.012217,-0.009171,0.021388,1
2025-03-13,2024-09-12,A297890,HB솔루션,중형주→소형주,중형주,소형주,0.00276295,0.00171354,-0.00104941,0.00463741,778361,301085,3609.6,515.9,-3093.7,-30.94,0,2785.0,2720.0,-0.023339,-0.009171,-0.014169,0
2025-03-13,2024-09-12,A053030,바이넥스,대형주→중형주,대형주,중형주,0.00286512,0.00704456,0.00417944,0.0037859,3381521,778361,12802.1,5483.2,-7318.9,-73.19,0,15270.0,15460.0,0.012443,-0.009171,0.021613,1
2025-03-13,2024-09-12,A101730,위메이드맥스,중형주→대형주,중형주,대형주,0.00894326,0.00373748,-0.00520579,0.00532225,778361,3381521,4142.6,12638.4,8495.7,84.96,1,7950.0,8030.0,0.010063,-0.009171,0.019234,1
