code,name,n_obs,r_squared,beta_mkt,beta_fx_stable_up,se_fx_stable_up,tstat_fx_stable_up,pval_fx_stable_up,beta_fx_stable_down,se_fx_stable_down,tstat_fx_stable_down,pval_fx_stable_down,beta_fx_normal_up,se_fx_normal_up,tstat_fx_normal_up,pval_fx_normal_up,beta_fx_normal_down,se_fx_normal_down,tstat_fx_normal_down,pval_fx_normal_down,beta_fx_crisis_up,se_fx_crisis_up,tstat_fx_crisis_up,pval_fx_crisis_up,beta_fx_crisis_down,se_fx_crisis_down,tstat_fx_crisis_down,pval_fx_crisis_down,wald_all_f,wald_all_p,wald_stable_asym_f,wald_stable_asym_p,wald_normal_asym_f,wald_normal_asym_p,wald_crisis_asym_f,wald_crisis_asym_p
A009970,영원무역홀딩스,1466,0.16810794838336407,0.5107586222775221,0.0018767694308703992,0.2970695341089885,0.006317609904022848,0.99495931012726,0.22848491549338834,0.23963605601875576,0.9534663493022325,0.34035383812150777,-0.48447983894848523,0.2761003223254481,-1.7547239165386184,0.07930654306424886,0.1761556198899349,0.22092614405012725,0.7973507193877691,0.42524737155030956,-1.345485452704115,0.367726086193575,-3.658933927237995,0.00025326662120932664,-0.9099118671021622,0.5827456343166619,-1.5614220227821034,0.11842420902963996,15.80474869380771,0.0074242080791859805,0.3671720687894496,0.5445497825527661,3.1612853132626713,0.07540379423309759,0.7495864310051348,0.38660720075206334
A361610,SK아이이테크놀로지,1130,0.21774733184654582,1.1131963621789294,-0.09066495384627424,0.3684115117584272,-0.24609696209961152,0.8056071746706726,-0.3339509707630653,0.31631265282546195,-1.0557622901899406,0.2910768306528725,-0.1745021853038822,0.45395717458939105,-0.3844023072478615,0.7006802907131007,-0.6825545412501732,0.4225127606387092,-1.6154649157065955,0.10621005215096023,-0.9547025138229664,0.43926465495014677,-2.1734107287355453,0.029749418066549075,-0.8545245464076735,0.5991136691549118,-1.4263145549875953,0.15377756511886784,5.892236042828309,0.316846476500102,0.2313109074419896,0.6305535094601835,0.6866149024364099,0.4073181699607762,0.014090127739090574,0.90551157567814
A161890,한국콜마,1466,0.14815035724322745,0.5718254630009133,-0.26723198895795786,0.2896353068478045,-0.9226499071067362,0.35618967859645934,-0.2512523370658519,0.279492101680725,-0.8989604198292068,0.3686737433825511,-0.6242278667735325,0.33525932362009325,-1.8619254493303534,0.06261359926430102,0.2534202911857282,0.28625854616678964,0.8852846302030468,0.3760031374359414,-0.8213062755815316,0.35112432508361296,-2.339075412636121,0.019331530922960406,-0.5757543505058799,0.27348847551538435,-2.1052234446840243,0.035271862383630836,8.363165013198973,0.1373241061244516,0.0014295945472365132,0.9698391875996092,3.7950379283355304,0.05140470854352435,0.3125528076810654,0.5761178891173209
A073240,금호타이어,1466,0.18281427846579135,0.6990311058081947,-0.28437492728881947,0.2811647549813469,-1.0114174065226829,0.311816693541624,-0.23021320741285745,0.2540670696546134,-0.9061119480215062,0.3648766019175065,-0.5398822799137425,0.41386512519906693,-1.304488460229796,0.19206709154764434,-0.2665774146177312,0.2532332900767289,-1.0526949854695609,0.2924808076411495,-0.8555034649601696,0.26221926593061495,-3.262549995798332,0.0011041469487241787,0.12816429711694252,0.25001311360431033,0.5126302987441892,0.6082099547655682,7.951713215815729,0.15891696181922452,0.017191697765663733,0.8956826624758897,0.27414292876797347,0.6005661029046041,6.787359294495914,0.009180561300487508
A028670,팬오션,1466,0.20277103429387622,0.8384343604639413,-0.40825289609724386,0.341713452536251,-1.1947229266718258,0.23219530182418757,0.02145760972710694,0.3242757332226091,0.06617087721570797,0.9472417825577637,-0.48125164057708575,0.37067565442540806,-1.2983092761327522,0.19418108012362834,-0.046926737784502,0.34265022162366526,-0.13695230536299466,0.8910684945942395,-1.327688451111272,0.7663056382425042,-1.73258342996964,0.08316973650372904,-0.7436263904929018,0.9029765035838614,-0.8235279517700536,0.4102078285854067,2.760361922347816,0.736871995384192,0.6894166109996275,0.4063628838320278,0.6529305074168034,0.41906689116969087,0.6938039389428182,0.4048735259517513
A026960,동서,1466,0.07684035586845339,0.3966892459636903,-0.3894490082568647,0.22592181314859675,-1.7238220729076317,0.08473996859171126,-0.14539822115808343,0.1756413591732203,-0.8278131178356994,0.407776344527798,-0.7647889420323193,0.236307043475303,-3.2364204248200883,0.0012103896844928613,-0.34725788266728624,0.2190975433701104,-1.5849464915299443,0.11297849216052015,-0.08582678199393777,0.27468270701310954,-0.3124579007073845,0.7546925528896333,-0.03321958555530851,0.24088481643060414,-0.13790651502054574,0.8903143013683998,6.960865253691475,0.22356711812208266,0.6208767842316145,0.43072165400197837,1.594383348999137,0.20670099177077816,0.0300646040437576,0.8623437245817331
A017960,한국카본,1466,0.18212893581976786,0.8316245031601676,-0.1909251263046187,0.3155902474877842,-0.6049779035456696,0.5451936786655125,0.21472189557178958,0.22690534309513846,0.9463060351194968,0.3439925160521654,-0.07801909119523853,0.3483145841770605,-0.22399030858718993,0.8227648442878428,-0.03213962697522513,0.3509785235888733,-0.09157149174424305,0.9270385025509346,-0.7608671696143379,0.6090978577878813,-1.2491706544128256,0.2116026628149419,-0.13097970713726845,0.34672023224248777,-0.37776770709378277,0.7056031651306506,2.604415320635459,0.7606943000202886,1.0075426177250277,0.31549227233115956,0.008101452210508883,0.9282808039353495,0.7463629812524204,0.38763018111177405
A008930,한미사이언스,1466,0.12378235072241894,0.8694582610074787,0.022865978796719543,0.4546798508362746,0.050290283932008545,0.9598910662730982,-0.11277619462280707,0.34843237420661366,-0.3236673827442135,0.7461898674300711,0.014928437926595992,0.41065658219333845,0.036352608417628225,0.9710012021831769,-0.06858201431070485,0.3181718422000365,-0.21555023171279541,0.8293383530866523,-0.7349877056010148,0.4952085843339398,-1.4841982325277743,0.13775633856872405,-0.3372397222065209,0.3516130957447342,-0.9591216205762478,0.3374974797418856,3.486002809651987,0.6255066317874075,0.04984404737617529,0.8233348653796322,0.023179278524955767,0.8789917898960512,0.32733054633602326,0.567235203100915
A006280,녹십자,1466,0.10248537877298047,0.6725840812705178,-0.46815370650678,0.28000878511341726,-1.6719250659123244,0.09453909931356029,0.2701738097269713,0.26239378770988825,1.0296501761150112,0.3031742521235974,-0.7338738241786561,0.3519509453473465,-2.085159406105255,0.037054833318689515,-0.2616028812202169,0.2946237525340022,-0.8879218968946695,0.3745827652378122,0.1376675934223786,0.4534548672150427,0.3035971237179207,0.7614348431558959,0.138207934410513,0.32771189343243995,0.4217360955775183,0.6732176547827247,7.880062306975263,0.16297067952754352,3.269711266676312,0.0705700430845948,0.9515115318620456,0.32933484811127833,9.192419632828827e-07,0.9992350114836809
A000120,CJ대한통운,1466,0.10627511908651543,0.4285084460793192,-0.11748593051199083,0.24276528830135385,-0.4839486375257695,0.6284223212883455,-0.020605863455954367,0.21768126284255937,-0.09466071257983195,0.9245843246172583,-0.526219045043921,0.23237151567314515,-2.26455916302626,0.023539745304850118,-0.2458337568423849,0.22580839016822804,-1.088683005353512,0.2762936986578949,-0.42647418783372015,0.3515486132589409,-1.2131300529966569,0.22508010150558522,-0.34266156249381724,0.41592738870330964,-0.8238494790210736,0.410025089495328,3.3849355534052834,0.6408652790958377,0.08313956204754532,0.7730870134607741,0.7785539466303235,0.3775837594484358,0.026865146212362506,0.8698052172086779
A285130,SK케미칼,1466,0.07719039957492735,0.595846949121401,-0.2895264293928926,0.34336865097696617,-0.8431941255240408,0.39911988332918225,0.28442695367635723,0.2318292098222454,1.2268814352360562,0.21986715714091587,0.027419185826351222,0.4781377637898266,0.057345785886102445,0.9542697484740852,-0.522791158395324,0.38099176697510023,-1.3721849229080352,0.1700058777595902,-0.44073786326077397,0.45118667471796653,-0.9768414892489367,0.32864763238152017,-0.46617883418687606,0.33536261896171743,-1.3900739314064448,0.16450642837962348,7.303878062200352,0.19900357034790192,1.650010807039676,0.19895746020303476,0.7517868166222464,0.38591110306246823,0.0020032097658992513,0.9643008152758252
