code,name,n_obs,r_squared,beta_mkt,beta_fx_crisis,beta_fx_normal,beta_fx_stable,se_fx_crisis,se_fx_normal,se_fx_stable,tstat_fx_crisis,tstat_fx_normal,tstat_fx_stable,pval_fx_crisis,pval_fx_normal,pval_fx_stable,wald_f,wald_p
A000880,한화,1466,0.24566902965895776,1.017615581605717,-0.041354731767464535,-0.0997555846895139,-0.39416221501825494,0.1760276355786087,0.24800398058735587,0.27152240706967123,-0.23493317757481746,-0.4022338046883744,-1.4516747228051605,0.8142605981450062,0.6875119658458797,0.14659207091737683,1.3167696793809918,0.5176868067822985
A139130,iM금융지주,1466,0.2644340974539475,0.6132375814627729,0.11355894160125896,-0.07675935940484457,-0.5950157007338938,0.12392018825068164,0.12088495938055402,0.23738584643314617,0.9163877428231255,-0.6349785763107296,-2.5065340232972364,0.35946356184383454,0.525442387625662,0.012192132328138743,7.486621239904091,0.02367559235491478
A035250,강원랜드,1466,0.24614170507499644,0.5760679816752282,0.12571085809926164,-0.25919366161159824,-0.442043606564134,0.10600289870725096,0.135706638017367,0.16664912043530428,1.1859190610101926,-1.9099556617004103,-2.6525408919619355,0.23565426493146024,0.05613892235361366,0.007988845049198903,12.387307280724427,0.0020423510885262614
A011790,SKC,1466,0.24518200542067925,1.1301489795491784,-0.340244971254271,-0.4336516691660941,-0.7709635767162063,0.21636497500567686,0.3074754345366891,0.3115120279080411,-1.5725510621362992,-1.4103620011775257,-2.474907893263743,0.1158228068581831,0.1584328195594853,0.013327054100116574,1.3771664229548757,0.5022871999259666
A307950,현대오토에버,1466,0.18940164175194873,1.005335257346909,0.22145682296896213,-0.13866294914817467,-0.4618062419353509,0.19388270701226754,0.22167993303125075,0.2903108247964999,1.1422206053423316,-0.6255097033461618,-1.590730356882368,0.2533623331039606,0.53163658190335,0.11167027201959111,4.414863506969926,0.10998274892039092
A111770,영원무역,1466,0.15779984315066364,0.6571817872605168,0.11423265580632574,-0.08413944839248594,-0.910531482131677,0.2012659464454354,0.22042877576443087,0.5147051097478014,0.5675707084272947,-0.3817080964166157,-1.7690352492863832,0.570326501426222,0.7026778939491337,0.07688799231888388,3.507140741603447,0.17315461231546245
A014680,한솔케미칼,1466,0.3034190992813136,1.0652872522782333,-0.046567609477800205,-0.21821000168963212,-0.6763104085315965,0.20020521577250583,0.24241437484547648,0.2320106701525598,-0.23259938207961178,-0.900152896579367,-2.9149970046070948,0.8160725071822623,0.36803888924285466,0.003556919564699451,5.000726570148072,0.08205518378506733
A012750,에스원,1466,0.1409723715687723,0.42711154586332944,-0.14977088625575963,-0.00518180028057184,-0.0070742289950381145,0.12983856011647307,0.1329083880418926,0.1645146685509036,-1.153516229087923,-0.03898775959075316,-0.04300059719507157,0.24869856020407677,0.968900147626348,0.9657010578026166,0.9035098994127111,0.6365101276092223
A011780,금호석유화학,1466,0.19431822020365896,0.8615970481528187,0.44113491385504866,-0.6900131558934998,-0.9470396079426555,0.26743931174659313,0.23139584130349963,0.5083361576204029,1.6494767017387384,-2.9819600560084223,-1.8630183860536083,0.0990500123972899,0.0028640936464574725,0.062459679486715804,12.864729934579787,0.0016086419467293202
A204320,HL만도,1466,0.2570764463788652,1.1065093794718783,0.47260530773806997,-0.1136411208446051,-0.1083013648417923,0.1771842304053926,0.19210099546632003,0.22822395350381855,2.6673102152305663,-0.5915696614103655,-0.4745398683139552,0.0076461059739858115,0.5541387946287042,0.6351149747616286,8.608225077913294,0.01351287236990614
