BaseDate,SellDate,leader,n_selected,n_priced,basket_return,win,top_codes,year
2006-03-17,2006-03-24,CP_LV,10,6,-0.02184894573439433,0,"A009290,A080000,A036530,A001130,A025540,A001370,A010460,A030610,A074000,A025530",2006
2006-03-24,2006-03-31,CP_G,10,9,0.04236871000421468,1,"A006380,A020000,A002300,A005830,A073240,A066570,A002380,A001630,A000210,A006200",2006
2006-03-31,2006-04-07,CP_G,10,6,0.03177690859404444,1,"A010120,A025930,A001210,A001060,A051910,A074000,A010770,A005380,A004790,A028150",2006
2006-04-07,2006-04-14,CP_V,10,7,0.04686612593880362,1,"A003070,A006200,A009540,A010620,A074000,A036550,A003550,A011040,A033500,A001120",2006
2006-04-14,2006-04-21,CP_MOM,10,10,0.040485174284359396,1,"A001680,A001450,A030200,A005830,A004020,A005490,A004800,A001440,A006650,A011200",2006
2006-04-21,2006-04-28,CP_LV,10,9,-0.018067234631545817,0,"A006380,A009720,A010140,A043650,A005250,A028050,A005500,A001720,A025750,A069620",2006
2006-04-28,2006-05-04,CP_LV,10,8,-0.0035048269450884267,0,"A006390,A016710,A002790,A010820,A057030,A023760,A000050,A012450,A005250,A003940",2006
2006-05-04,2006-05-12,CP_S,10,8,0.010106987437426149,1,"A005990,A014790,A036530,A007190,A068790,A003000,A003520,A034940,A069620,A049000",2006
2006-05-12,2006-05-19,CP_LV,10,6,-0.04363994700697562,0,"A063350,A007190,A060150,A005440,A010460,A035420,A020560,A023760,A008900,A000100",2006
2006-05-19,2006-05-26,CP_MOM,10,9,-0.021851136255539597,0,"A058650,A000660,A005880,A004370,A002270,A012750,A010950,A033780,A018670,A003920",2006
2006-05-26,2006-06-02,CP_LV,10,9,-0.0029952599308280168,0,"A043890,A013580,A005850,A005440,A018880,A060150,A007570,A005950,A000810,A005250",2006
2006-06-02,2006-06-09,CP_S,10,6,-0.016158843529677114,0,"A016420,A069080,A063350,A057330,A003530,A006650,A005880,A058650,A009720,A000880",2006
2006-06-09,2006-06-16,CP_MOM,10,10,0.06850165535079888,1,"A005380,A001740,A056190,A009970,A004370,A000880,A001430,A036830,A053800,A036570",2006
2006-06-16,2006-06-23,CP_LV,10,7,-0.05391584508495376,0,"A010460,A001510,A004830,A007190,A026960,A009410,A028150,A010820,A005250,A000810",2006
2006-06-23,2006-06-30,CP_MOM,10,10,0.05680449537988007,1,"A012750,A007570,A000100,A023410,A036830,A035250,A009970,A006650,A003300,A005380",2006
2006-06-30,2006-07-07,CP_MOM,10,9,-0.05790408830532846,0,"A000990,A049770,A005850,A009410,A033780,A030000,A003300,A004170,A010780,A016100",2006
2006-07-07,2006-07-14,CP_LV,10,8,0.005605461421744631,1,"A001830,A005680,A064960,A001680,A011040,A037710,A006370,A002270,A004990,A053800",2006
2006-07-14,2006-07-21,CP_MOM,10,10,-0.02392335192521,0,"A009150,A034830,A010780,A000640,A005250,A004170,A001680,A000880,A026960,A003230",2006
2006-07-21,2006-07-28,CP_LV,10,10,0.025320982070325005,1,"A025540,A009830,A016710,A036710,A008770,A033530,A000070,A003480,A005990,A000150",2006
2006-07-28,2006-08-04,CP_G,10,8,0.018715066532078495,1,"A003470,A025930,A036930,A005880,A033240,A039230,A004000,A042420,A006800,A014790",2006
2006-08-04,2006-08-11,CP_V,10,6,0.0026982534496195663,1,"A002550,A032390,A069620,A003940,A024660,A060150,A035000,A004800,A003070,A043650",2006
2006-08-11,2006-08-18,CP_G,10,9,0.019638636983365803,1,"A035000,A000880,A006120,A073640,A029460,A004200,A010120,A003690,A002790,A005180",2006
2006-08-18,2006-08-25,CP_S,10,9,0.0058042578401114415,1,"A046890,A005960,A064960,A008770,A022100,A048870,A009410,A036830,A015750,A006390",2006
2006-08-25,2006-09-01,CP_G,10,7,0.056174655250692,1,"A063350,A025930,A005680,A045970,A008770,A080000,A056190,A008060,A004710,A066570",2006
2006-09-01,2006-09-08,CP_S,10,5,0.059016614941687126,1,"A063350,A010820,A005250,A073640,A004130,A036930,A009970,A009720,A003330,A008000",2006
2006-09-08,2006-09-15,CP_S,10,8,0.00993513649580896,1,"A011810,A039490,A033500,A054450,A002530,A005810,A006120,A034660,A001130,A009410",2006
2006-09-15,2006-09-22,CP_LV,10,6,-0.0003727670316505116,0,"A005250,A004550,A004020,A036550,A004200,A001370,A003030,A036830,A020000,A010060",2006
2006-09-22,2006-09-29,CP_MOM,10,10,0.009329332923463584,1,"A030000,A011170,A036830,A039490,A023160,A058650,A004170,A000070,A004370,A035760",2006
2006-09-29,2006-10-04,CP_LV,10,7,-0.025678136038639967,0,"A032710,A003520,A001200,A017800,A042100,A004990,A039130,A005620,A003920,A009830",2006
2006-10-04,2006-10-13,CP_S,10,6,-0.023015266150094787,0,"A025930,A034660,A002530,A039560,A067290,A005880,A009180,A047080,A082850,A006390",2006
2006-10-13,2006-10-20,CP_MOM,10,10,0.014409170862963927,1,"A005490,A001430,A005380,A003540,A003920,A000990,A003300,A000670,A011170,A086790",2006
2006-10-20,2006-10-27,CP_LV,10,7,-0.00035731015560074616,0,"A005250,A006840,A073640,A003230,A001060,A024660,A006280,A000360,A006380,A009720",2006
2006-10-27,2006-11-03,CP_S,10,7,0.021930739995883273,1,"A002530,A074000,A063350,A054450,A049070,A033640,A035000,A082850,A008730,A001210",2006
2006-11-03,2006-11-10,CP_Q,10,9,0.0007389942799961549,1,"A001880,A001740,A002240,A034230,A005680,A005930,A005300,A035000,A008730,A012450",2006
2006-11-10,2006-11-17,CP_LV,10,7,0.01918746780343994,1,"A007190,A008900,A004990,A005990,A000230,A042100,A001230,A011790,A035420,A003570",2006
2006-11-17,2006-11-24,CP_V,10,8,0.03349853998992321,1,"A009540,A036530,A005810,A002550,A012330,A010130,A000070,A017800,A004130,A014790",2006
2006-11-24,2006-12-01,CP_Q,10,8,0.03621409828344141,1,"A000050,A028050,A026960,A026870,A025930,A025860,A025750,A025560,A025540,A025000",2006
2006-12-01,2006-12-08,CP_Q,10,9,-0.01270200859554671,0,"A063350,A032640,A001800,A020560,A000880,A042420,A077970,A005880,A035720,A003570",2006
2006-12-08,2006-12-15,CP_LV,10,8,0.008027306241518622,1,"A033030,A064960,A003230,A007190,A071050,A006380,A001470,A016880,A049070,A054450",2006
2006-12-15,2006-12-22,CP_LV,10,8,0.005910883226157446,1,"A072710,A086790,A003520,A006260,A024660,A000060,A034220,A012750,A039490,A064960",2006
2006-12-22,2006-12-28,CP_G,10,7,-0.009165585155774512,0,"A004940,A011200,A012450,A006350,A015760,A015750,A000700,A039560,A004800,A053000",2006
2006-12-28,2007-01-05,CP_V,10,8,-0.018208486984486155,0,"A001440,A033780,A009540,A032390,A000320,A011930,A008060,A004940,A073640,A005810",2006
2007-01-05,2007-01-12,CP_LV,10,9,-0.018039548793908504,0,"A002790,A017800,A001830,A010780,A006360,A011040,A005680,A034120,A005850,A003300",2007
2007-01-12,2007-01-19,CP_LV,10,10,-0.014963075211109612,0,"A069260,A000320,A037710,A028080,A044490,A001210,A036710,A078930,A003300,A019680",2007
2007-01-19,2007-01-26,CP_LV,10,5,0.027633712819199817,1,"A011760,A025540,A012650,A004010,A000880,A028050,A000060,A007810,A071660,A002550",2007
2007-01-26,2007-02-02,CP_V,10,9,0.02742740683376045,1,"A084870,A039230,A001680,A064960,A002380,A037710,A054450,A051910,A011780,A011930",2007
2007-02-02,2007-02-09,CP_G,10,9,0.01612944424147769,1,"A001940,A078930,A003070,A000700,A034120,A035760,A010060,A009200,A002300,A005990",2007
2007-02-09,2007-02-16,CP_V,10,9,0.0023647946234589545,1,"A024660,A079160,A008730,A005810,A001120,A025540,A036710,A000210,A017670,A020000",2007
2007-02-16,2007-02-23,CP_MOM,10,10,0.025060698404035797,1,"A078930,A010140,A002020,A086790,A003920,A000210,A003540,A047040,A046890,A069960",2007
2007-02-23,2007-03-02,CP_S,10,6,-0.009812496848628541,0,"A043890,A073710,A057330,A034830,A006650,A015350,A016380,A001800,A035000,A003520",2007
2007-03-02,2007-03-09,CP_G,10,6,0.003012509695635194,1,"A035000,A015750,A024660,A049070,A004550,A001230,A068790,A006280,A001300,A042100",2007
2007-03-09,2007-03-16,CP_S,10,4,-0.0034716786563811497,0,"A033030,A049770,A057330,A003560,A035080,A041960,A008000,A004980,A005740,A002530",2007
2007-03-16,2007-03-23,CP_MOM,10,10,0.029245444735669167,1,"A039130,A003300,A023590,A069960,A001120,A010950,A003230,A011780,A006260,A006650",2007
2007-03-23,2007-03-30,CP_G,10,7,0.00718903896303177,1,"A064420,A035000,A013580,A033640,A002320,A068870,A034020,A025000,A000660,A010520",2007
2007-03-30,2007-04-06,CP_MOM,10,10,0.009815300359559931,1,"A001680,A033780,A006840,A002380,A066570,A002240,A086280,A006650,A008060,A009240",2007
2007-04-06,2007-04-13,CP_V,10,7,0.031119634400449403,1,"A023410,A060000,A015940,A001060,A004940,A086790,A003550,A042660,A001130,A003480",2007
