BaseDate,SellDate,leader,status,basket_return,basket_gross,n_picked,top_codes,year,win,bm_return,excess_return,beat_bm
2010-05-07,2010-05-14,CP_LV,traded,0.017053829522063427,0.019053829522063425,10,"A015760,A000230,A005930,A003540,A003920,A008730,A092230,A029530,A018670,A004170",2010,1,0.029213960546282225,-0.012160131024218798,0
2010-05-14,2010-05-20,CP_G,traded,-0.05704482574845232,-0.05504482574845232,10,"A035080,A014620,A034020,A010950,A005160,A000140,A084110,A051500,A052260,A092070",2010,0,-0.05629176176406414,-0.0007530639843881803,0
2010-05-20,2010-05-28,CP_Q,skip_quality,0.0,,0,,2010,0,0.014123411116249374,-0.014123411116249374,0
2010-05-28,2010-06-04,CP_V,traded,0.022217473484946917,0.024217473484946916,10,"A012630,A009680,A029530,A003300,A005090,A004150,A014830,A017390,A001940,A001680",2010,1,0.025480964764170277,-0.00326349127922336,0
2010-06-04,2010-06-11,CP_MOM,traded,-0.008583886049574828,-0.0065838860495748275,10,"A051900,A049960,A030530,A035720,A030200,A009240,A001800,A000270,A051370,A005440",2010,0,0.006736252576421187,-0.015320138625996014,0
2010-06-11,2010-06-18,CP_G,traded,-0.0008375286843442669,0.001162471315655733,10,"A103590,A056700,A112040,A044490,A033640,A010950,A039130,A068270,A000140,A084110",2010,0,0.02185228073107548,-0.022689809415419745,0
2010-06-18,2010-06-25,CP_S,traded,0.05406060460501735,0.05606060460501735,10,"A086980,A082270,A083790,A054780,A043610,A101730,A093920,A033500,A095340,A092070",2010,1,0.010450071555828,0.04361053304918935,1
2010-06-25,2010-07-02,CP_MOM,traded,-0.024747556470848676,-0.022747556470848675,10,"A003670,A035760,A001450,A006840,A030530,A011790,A098460,A056190,A068270,A051370",2010,0,-0.03354067428201446,0.008793117811165783,1
2010-07-02,2010-07-09,CP_Q,skip_quality,0.0,,0,,2010,0,0.03061932504695486,-0.03061932504695486,0
2010-07-09,2010-07-16,CP_LV,traded,0.013554603862459026,0.015554603862459026,10,"A033780,A007340,A005180,A090430,A017940,A002240,A036800,A003920,A004690,A032640",2010,1,0.008961062326974245,0.004593541535484781,1
2010-07-16,2010-07-23,CP_LV,traded,0.011199223636750879,0.013199223636750879,10,"A017940,A017670,A026960,A036800,A004360,A011040,A014830,A005180,A005930,A004690",2010,1,0.01128016336391613,-8.093972716525025e-05,0
2010-07-23,2010-07-30,CP_S,traded,0.0294075128360222,0.0314075128360222,10,"A052790,A014470,A035890,A033500,A108230,A016250,A054670,A095700,A035810,A092070",2010,1,0.0007223871767743084,0.02868512565924789,1
