BaseDate,leader,n_pool,n_final,n_valid,n_up,agreement_30,agreement_valid,year
2010-08-20,CP_Q,100,30,30,20,0.6666666666666666,0.6666666666666666,2010
2010-08-27,CP_G,100,30,30,6,0.2,0.2,2010
2010-09-03,CP_MOM,100,30,30,23,0.7666666666666667,0.7666666666666667,2010
2010-09-10,CP_V,100,30,30,18,0.6,0.6,2010
2010-09-17,CP_MOM,100,30,30,13,0.43333333333333335,0.43333333333333335,2010
2010-09-24,CP_V,100,30,30,22,0.7333333333333333,0.7333333333333333,2010
2010-10-01,CP_V,100,30,30,24,0.8,0.8,2010
2010-10-08,CP_S,100,30,30,18,0.6,0.6,2010
2010-10-15,CP_MOM,100,30,30,14,0.4666666666666667,0.4666666666666667,2010
2010-10-22,CP_Q,100,30,30,19,0.6333333333333333,0.6333333333333333,2010
2010-10-29,CP_LV,100,30,30,16,0.5333333333333333,0.5333333333333333,2010
2010-11-05,CP_LV,100,30,30,14,0.4666666666666667,0.4666666666666667,2010
2010-11-12,CP_Q,100,30,30,6,0.2,0.2,2010
2010-11-19,CP_LV,100,30,30,12,0.4,0.4,2010
2010-11-26,CP_MOM,100,30,30,2,0.06666666666666667,0.06666666666666667,2010
2010-12-03,CP_G,100,30,30,18,0.6,0.6,2010
2010-12-10,CP_MOM,100,30,30,15,0.5,0.5,2010
2010-12-17,CP_LV,100,30,30,19,0.6333333333333333,0.6333333333333333,2010
2010-12-24,CP_G,100,30,30,10,0.3333333333333333,0.3333333333333333,2010
2010-12-30,CP_MOM,100,30,30,16,0.5333333333333333,0.5333333333333333,2010
2011-01-07,CP_V,100,30,30,20,0.6666666666666666,0.6666666666666666,2011
2011-01-14,CP_MOM,100,30,30,15,0.5,0.5,2011
2011-01-21,CP_LV,100,30,30,6,0.2,0.2,2011
2011-01-28,CP_G,100,30,30,14,0.4666666666666667,0.4666666666666667,2011
2011-02-01,CP_S,100,30,30,12,0.4,0.4,2011
2011-02-11,CP_Q,100,30,30,7,0.23333333333333334,0.23333333333333334,2011
2011-02-18,CP_S,100,30,30,11,0.36666666666666664,0.36666666666666664,2011
2011-02-25,CP_MOM,100,30,30,6,0.2,0.2,2011
2011-03-04,CP_LV,100,30,30,22,0.7333333333333333,0.7333333333333333,2011
2011-03-11,CP_G,100,30,30,11,0.36666666666666664,0.36666666666666664,2011
2011-03-18,CP_MOM,100,30,30,9,0.3,0.3,2011
2011-03-25,CP_G,100,30,30,24,0.8,0.8,2011
2011-04-01,CP_MOM,100,30,30,20,0.6666666666666666,0.6666666666666666,2011
2011-04-08,CP_MOM,100,30,30,16,0.5333333333333333,0.5333333333333333,2011
2011-04-15,CP_MOM,100,30,30,22,0.7333333333333333,0.7333333333333333,2011
2011-04-22,CP_LV,100,30,30,16,0.5333333333333333,0.5333333333333333,2011
2011-04-29,CP_S,100,30,30,16,0.5333333333333333,0.5333333333333333,2011
2011-05-06,CP_G,100,30,30,15,0.5,0.5,2011
2011-05-13,CP_LV,100,30,30,9,0.3,0.3,2011
2011-05-20,CP_MOM,100,30,30,11,0.36666666666666664,0.36666666666666664,2011
2011-05-27,CP_LV,100,30,30,7,0.23333333333333334,0.23333333333333334,2011
2011-06-03,CP_LV,100,30,30,14,0.4666666666666667,0.4666666666666667,2011
2011-06-10,CP_Q,100,30,30,7,0.23333333333333334,0.23333333333333334,2011
2011-06-17,CP_S,100,30,30,9,0.3,0.3,2011
2011-06-24,CP_S,100,30,30,20,0.6666666666666666,0.6666666666666666,2011
2011-07-01,CP_MOM,100,30,30,21,0.7,0.7,2011
2011-07-08,CP_S,100,30,30,22,0.7333333333333333,0.7333333333333333,2011
2011-07-15,CP_S,100,30,30,16,0.5333333333333333,0.5333333333333333,2011
2011-07-22,CP_S,100,30,30,23,0.7666666666666667,0.7666666666666667,2011
2011-07-29,CP_LV,100,30,30,13,0.43333333333333335,0.43333333333333335,2011
2011-08-05,CP_S,100,30,30,2,0.06666666666666667,0.06666666666666667,2011
2011-08-12,CP_LV,100,30,30,3,0.1,0.1,2011
2011-08-19,CP_V,100,30,30,8,0.26666666666666666,0.26666666666666666,2011
2011-08-26,CP_MOM,100,30,30,19,0.6333333333333333,0.6333333333333333,2011
2011-09-02,CP_LV,100,30,30,28,0.9333333333333333,0.9333333333333333,2011
2011-09-09,CP_V,100,30,30,1,0.03333333333333333,0.03333333333333333,2011
2011-09-16,CP_MOM,100,30,30,17,0.5666666666666667,0.5666666666666667,2011
2011-09-23,CP_MOM,100,30,30,10,0.3333333333333333,0.3333333333333333,2011
2011-09-30,CP_V,100,30,30,15,0.5,0.5,2011
2011-10-07,CP_G,100,30,30,10,0.3333333333333333,0.3333333333333333,2011
2011-10-14,CP_G,100,30,30,29,0.9666666666666667,0.9666666666666667,2011
2011-10-21,CP_V,100,30,30,14,0.4666666666666667,0.4666666666666667,2011
2011-10-28,CP_G,100,30,30,21,0.7,0.7,2011
2011-11-04,CP_S,100,30,30,15,0.5,0.5,2011
2011-11-11,CP_LV,100,30,30,7,0.23333333333333334,0.23333333333333334,2011
2011-11-18,CP_LV,100,30,30,12,0.4,0.4,2011
2011-11-25,CP_V,100,30,30,9,0.3,0.3,2011
2011-12-02,CP_S,100,30,30,23,0.7666666666666667,0.7666666666666667,2011
2011-12-09,CP_LV,100,30,30,15,0.5,0.5,2011
2011-12-16,CP_S,100,30,30,10,0.3333333333333333,0.3333333333333333,2011
2011-12-23,CP_S,100,30,30,14,0.4666666666666667,0.4666666666666667,2011
2011-12-29,CP_S,100,30,30,11,0.36666666666666664,0.36666666666666664,2011
2012-01-06,CP_V,100,30,30,13,0.43333333333333335,0.43333333333333335,2012
2012-01-13,CP_V,100,30,30,18,0.6,0.6,2012
2012-01-20,CP_LV,100,30,30,17,0.5666666666666667,0.5666666666666667,2012
2012-01-27,CP_V,100,30,30,21,0.7,0.7,2012
2012-02-03,CP_S,100,30,30,22,0.7333333333333333,0.7333333333333333,2012
2012-02-10,CP_G,100,30,30,19,0.6333333333333333,0.6333333333333333,2012
2012-02-17,CP_LV,100,30,30,12,0.4,0.4,2012
2012-02-24,CP_V,100,30,30,15,0.5,0.5,2012
2012-03-02,CP_LV,100,30,30,16,0.5333333333333333,0.5333333333333333,2012
2012-03-09,CP_Q,100,30,30,14,0.4666666666666667,0.4666666666666667,2012
2012-03-16,CP_LV,100,30,30,15,0.5,0.5,2012
2012-03-23,CP_Q,100,30,30,7,0.23333333333333334,0.23333333333333334,2012
2012-03-30,CP_LV,100,30,30,12,0.4,0.4,2012
2012-04-06,CP_S,100,30,30,3,0.1,0.1,2012
2012-04-13,CP_MOM,100,30,30,13,0.43333333333333335,0.43333333333333335,2012
2012-04-20,CP_LV,100,30,30,10,0.3333333333333333,0.3333333333333333,2012
2012-04-27,CP_S,100,30,30,2,0.06666666666666667,0.06666666666666667,2012
2012-05-04,CP_G,100,30,30,20,0.6666666666666666,0.6666666666666666,2012
2012-05-11,CP_LV,100,30,30,10,0.3333333333333333,0.3333333333333333,2012
2012-05-18,CP_G,100,30,30,3,0.1,0.1,2012
2012-05-25,CP_MOM,100,30,30,20,0.6666666666666666,0.6666666666666666,2012
2012-06-01,CP_G,100,30,30,20,0.6666666666666666,0.6666666666666666,2012
2012-06-08,CP_V,100,30,30,10,0.3333333333333333,0.3333333333333333,2012
2012-06-15,CP_S,100,30,30,14,0.4666666666666667,0.4666666666666667,2012
2012-06-22,CP_S,100,30,30,24,0.8,0.8,2012
2012-06-29,CP_S,100,30,30,14,0.4666666666666667,0.4666666666666667,2012
2012-07-06,CP_V,100,30,30,23,0.7666666666666667,0.7666666666666667,2012
2012-07-13,CP_MOM,100,30,30,12,0.4,0.4,2012
2012-07-20,CP_LV,100,30,30,19,0.6333333333333333,0.6333333333333333,2012
2012-07-27,CP_V,100,30,30,7,0.23333333333333334,0.23333333333333334,2012
2012-08-03,CP_V,100,30,30,15,0.5,0.5,2012
2012-08-10,CP_G,100,30,30,29,0.9666666666666667,0.9666666666666667,2012
2012-08-17,CP_MOM,100,30,30,19,0.6333333333333333,0.6333333333333333,2012
2012-08-24,CP_Q,100,30,30,14,0.4666666666666667,0.4666666666666667,2012
2012-08-31,CP_LV,100,30,30,12,0.4,0.4,2012
2012-09-07,CP_V,100,30,30,19,0.6333333333333333,0.6333333333333333,2012
2012-09-14,CP_MOM,100,30,30,20,0.6666666666666666,0.6666666666666666,2012
2012-09-21,CP_Q,100,30,30,22,0.7333333333333333,0.7333333333333333,2012
2012-09-28,CP_S,100,30,30,7,0.23333333333333334,0.23333333333333334,2012
2012-10-05,CP_MOM,100,30,30,18,0.6,0.6,2012
2012-10-12,CP_V,100,30,30,10,0.3333333333333333,0.3333333333333333,2012
2012-10-19,CP_LV,100,30,30,7,0.23333333333333334,0.23333333333333334,2012
2012-10-26,CP_G,100,30,30,4,0.13333333333333333,0.13333333333333333,2012
2012-11-02,CP_S,100,30,30,15,0.5,0.5,2012
2012-11-09,CP_LV,100,30,30,12,0.4,0.4,2012
2012-11-16,CP_Q,100,30,30,5,0.16666666666666666,0.16666666666666666,2012
2012-11-23,CP_V,100,30,30,21,0.7,0.7,2012
2012-11-30,CP_V,100,30,30,20,0.6666666666666666,0.6666666666666666,2012
2012-12-07,CP_V,100,30,30,20,0.6666666666666666,0.6666666666666666,2012
2012-12-14,CP_LV,100,30,30,22,0.7333333333333333,0.7333333333333333,2012
2012-12-21,CP_G,100,30,30,11,0.36666666666666664,0.36666666666666664,2012
