BaseDate,SellDate,leader,status,basket_return,year,win
2011-12-02,2011-12-09,CP_S,traded,0.02867151853786498,2011,1
2011-12-09,2011-12-16,CP_LV,traded,0.006342418960087616,2011,1
2011-12-16,2011-12-23,CP_S,traded,-0.014744939969173075,2011,0
2011-12-23,2011-12-29,CP_S,traded,-0.002684953139088118,2011,0
2011-12-29,2012-01-06,CP_S,traded,0.13817175200714002,2011,1
2012-01-06,2012-01-13,CP_V,traded,0.03218873972883103,2012,1
2012-01-13,2012-01-20,CP_V,traded,0.03015092608919924,2012,1
2012-01-20,2012-01-27,CP_LV,traded,0.00810647794511832,2012,1
2012-01-27,2012-02-03,CP_V,traded,0.05813744164745453,2012,1
2012-02-03,2012-02-10,CP_S,traded,0.01993133269912354,2012,1
2012-02-10,2012-02-17,CP_G,skip,0.0,2012,0
2012-02-17,2012-02-24,CP_LV,traded,0.0013052736393294202,2012,1
2012-02-24,2012-03-02,CP_V,traded,-0.016671339959969597,2012,0
2012-03-02,2012-03-09,CP_LV,traded,-0.013622598807975748,2012,0
2012-03-09,2012-03-16,CP_Q,skip,0.0,2012,0
2012-03-16,2012-03-23,CP_LV,traded,-0.012762825395580156,2012,0
2012-03-23,2012-03-30,CP_Q,skip,0.0,2012,0
2012-03-30,2012-04-06,CP_LV,traded,-0.015787883160421432,2012,0
2012-04-06,2012-04-13,CP_S,traded,-0.03643663014989148,2012,0
2012-04-13,2012-04-20,CP_MOM,traded,-0.02024029748285211,2012,0
2012-04-20,2012-04-27,CP_LV,traded,-0.006899813132114095,2012,0
2012-04-27,2012-05-04,CP_S,traded,0.05515859940598018,2012,1
2012-05-04,2012-05-11,CP_G,skip,0.0,2012,0
2012-05-11,2012-05-18,CP_LV,traded,-0.07399452712412884,2012,0
2012-05-18,2012-05-25,CP_G,skip,0.0,2012,0
2012-05-25,2012-06-01,CP_MOM,traded,-0.001798751391055629,2012,0
2012-06-01,2012-06-08,CP_G,skip,0.0,2012,0
2012-06-08,2012-06-15,CP_V,traded,0.02642903246914672,2012,1
2012-06-15,2012-06-22,CP_S,traded,0.022209403290494416,2012,1
2012-06-22,2012-06-29,CP_S,traded,-0.014694056589658841,2012,0
2012-06-29,2012-07-06,CP_S,traded,0.042849472012831624,2012,1
2012-07-06,2012-07-13,CP_V,traded,-0.03757104343304933,2012,0
2012-07-13,2012-07-20,CP_MOM,traded,-0.007571553989944034,2012,0
2012-07-20,2012-07-27,CP_LV,traded,-0.002111599589089162,2012,0
2012-07-27,2012-08-03,CP_V,traded,0.02176932482673123,2012,1
2012-08-03,2012-08-10,CP_V,traded,0.04707559041386282,2012,1
2012-08-10,2012-08-17,CP_G,skip,0.0,2012,0
2012-08-17,2012-08-24,CP_MOM,traded,0.0272726833592598,2012,1
2012-08-24,2012-08-31,CP_Q,skip,0.0,2012,0
2012-08-31,2012-09-07,CP_LV,traded,0.006707434512339917,2012,1
