code,name,s_score,confidence,news_count,analyst_count,summary
001080,만호제강,-20.0,0.28,1,0,heuristic pos=0 neg=1
001120,LX인터내셔널,0.0,0.0,0,0,no overnight inputs
001130,대한제분,0.0,0.0,0,0,no overnight inputs
001200,유진투자증권,-20.0,0.44,3,0,heuristic pos=0 neg=1
001210,금호전기,0.0,0.0,0,0,no overnight inputs
001230,동국홀딩스,0.0,0.28,1,0,heuristic pos=0 neg=0
001250,GS글로벌,0.0,0.0,0,0,no overnight inputs
001260,남광토건,20.0,0.28,1,0,heuristic pos=1 neg=0
001270,부국증권,0.0,0.0,0,0,no overnight inputs
001275,부국증권우,0.0,0.0,0,0,no overnight inputs
001290,상상인증권,0.0,0.36,2,0,heuristic pos=0 neg=0
001340,PKC,0.0,0.36,2,0,heuristic pos=0 neg=0
001360,삼성제약,0.0,0.0,0,0,no overnight inputs
001380,SG글로벌,0.0,0.0,0,0,no overnight inputs
001390,KG케미칼,0.0,0.0,0,0,no overnight inputs
001420,태원물산,0.0,0.0,0,0,no overnight inputs
001430,세아베스틸지주,0.0,0.0,0,0,no overnight inputs
001440,대한전선,0.0,0.36,2,0,heuristic pos=0 neg=0
001450,현대해상,20.0,0.44,3,0,heuristic pos=1 neg=0
001460,BYC,0.0,0.0,0,0,no overnight inputs
001465,BYC우,0.0,0.0,0,0,no overnight inputs
001470,삼부토건,0.0,0.0,0,0,no overnight inputs
001500,현대차증권,60.0,0.7,8,0,heuristic pos=3 neg=0
001510,SK증권,60.0,0.7,7,0,heuristic pos=3 neg=0
001515,SK증권우,0.0,0.0,0,0,no overnight inputs
001520,동양,0.0,0.0,0,0,no overnight inputs
001525,동양우,0.0,0.0,0,0,no overnight inputs
001527,동양2우B,0.0,0.0,0,0,no overnight inputs
001530,DI동일,0.0,0.0,0,0,no overnight inputs
001550,조비,0.0,0.0,0,0,no overnight inputs
001560,제일연마,0.0,0.0,0,0,no overnight inputs
001570,금양,0.0,0.28,1,0,heuristic pos=0 neg=0
001620,케이비아이동국실업,0.0,0.0,0,0,no overnight inputs
001630,종근당홀딩스,0.0,0.0,0,0,no overnight inputs
001680,대상,0.0,0.28,1,0,heuristic pos=0 neg=0
001685,대상우,0.0,0.0,0,0,no overnight inputs
001720,신영증권,20.0,0.7,7,0,heuristic pos=1 neg=0
001740,SK네트웍스,20.0,0.6000000000000001,5,0,heuristic pos=2 neg=1
001750,한양증권,0.0,0.0,0,0,no overnight inputs
001755,한양증권우,0.0,0.0,0,0,no overnight inputs
001770,SHD,0.0,0.0,0,0,no overnight inputs
001780,알루코,0.0,0.0,0,0,no overnight inputs
001790,대한제당,0.0,0.0,0,0,no overnight inputs
001795,대한제당우,0.0,0.0,0,0,no overnight inputs
001800,오리온홀딩스,0.0,0.0,0,0,no overnight inputs
001820,삼화콘덴서,-20.0,0.36,2,0,heuristic pos=0 neg=1
001940,KISCO홀딩스,0.0,0.28,1,0,heuristic pos=0 neg=0
002020,코오롱,0.0,0.0,0,0,no overnight inputs
002025,코오롱우,0.0,0.0,0,0,no overnight inputs
002030,아세아,0.0,0.28,1,0,heuristic pos=0 neg=0
002070,비비안,0.0,0.0,0,0,no overnight inputs
002100,경농,0.0,0.0,0,0,no overnight inputs
002140,고려산업,0.0,0.0,0,0,no overnight inputs
002150,도화엔지니어링,0.0,0.0,0,0,no overnight inputs
002170,SYTS,0.0,0.0,0,0,no overnight inputs
002200,한국수출포장,0.0,0.0,0,0,no overnight inputs
002210,동성제약,0.0,0.52,4,0,heuristic pos=0 neg=0
002220,한일철강,0.0,0.0,0,0,no overnight inputs
002240,고려제강,0.0,0.0,0,0,no overnight inputs
002310,아세아제지,0.0,0.0,0,0,no overnight inputs
002320,한진,20.0,0.28,1,0,heuristic pos=1 neg=0
002350,넥센타이어,0.0,0.44,3,0,heuristic pos=0 neg=0
002355,넥센타이어1우B,0.0,0.0,0,0,no overnight inputs
002360,SH에너지화학,0.0,0.0,0,0,no overnight inputs
002380,KCC,0.0,0.28,1,0,heuristic pos=0 neg=0
002390,한독,0.0,0.28,1,0,heuristic pos=0 neg=0
002410,범양건영,0.0,0.0,0,0,no overnight inputs
002420,세기상사,0.0,0.0,0,0,no overnight inputs
002450,삼익악기,0.0,0.0,0,0,no overnight inputs
002460,HS화성,0.0,0.0,0,0,no overnight inputs
002600,조흥,0.0,0.0,0,0,no overnight inputs
002620,제일파마홀딩스,0.0,0.28,1,0,heuristic pos=0 neg=0
002630,오리엔트바이오,0.0,0.0,0,0,no overnight inputs
002690,동일제강,0.0,0.0,0,0,no overnight inputs
002700,신일전자,0.0,0.28,1,0,heuristic pos=0 neg=0
002710,TCC스틸,0.0,0.0,0,0,no overnight inputs
002720,국제약품,0.0,0.0,0,0,no overnight inputs
002760,보락,0.0,0.0,0,0,no overnight inputs
002780,진흥기업,20.0,0.28,1,0,heuristic pos=1 neg=0
002785,진흥기업우B,0.0,0.0,0,0,no overnight inputs
