종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"395160","KODEX AI반도체","23750","-3410","-12.56","24060.67","26415","27625","23750","11367789","292521137991","1954625000000","1975381285644","82300000","FnGuide AI반도체지수","5538.85","-705.45","-11.30"
"471990","KODEX AI반도체핵심장비","21420","-2680","-11.12","21433.66","23255","24755","21100","5160812","119961698807","297738000000","347225359935","13900000","iSelect AI 반도체핵심장비 지수","6008.29","-769.39","-11.35"
"487240","KODEX AI전력핵심설비","27510","-4460","-13.95","27717.83","30565","31115","26800","10387364","301726981674","1397508000000","1469045182888","50800000","iSelect AI 전력핵심설비 지수(Price Return)","16713.61","-2579.58","-13.37"
"481050","KODEX CD1년금리플러스액티브(합성)","1021545","80","0.01","1021469.22","1021540","1021545","1021540","22070","22545437103","2881778445000","2834679245976","2821000","KAP 1년은행 CD+추가금리 지수(총수익지수)","1225.61","0.10","0.01"
"459580","KODEX CD금리액티브(합성)","1073465","80","0.01","1073395.71","1073460","1073465","1073460","390714","419416558900","8012128067000","8025135719788","7463800","KAP 양도성예금증서(CD)금리지수(총수익지수)","123.39","0.01","0.01"
"439860","KODEX ESG종합채권(A-이상)액티브","113765","-10","-0.01","113775.88","113810","114010","113765","717","81638135","309213270000","297296368983","2718000","KAP ESG 종합채권지수(A- 이상, 총수익)","130.34","-0.06","-0.05"
"266370","KODEX IT","39090","-5210","-11.76","39328.49","42555","44530","39040","155115","6403178489","46908000000","51127035128","1200000","KRX 정보기술","3389.89","-440.28","-11.50"
"368680","KODEX K-뉴딜디지털플러스","8010","-1140","-12.46","7974.24","8945","8980","7810","19949","169357392","8010000000","7974243940","1000000","FnGuide K-뉴딜 디지털 플러스 지수","1890.87","-284.37","-13.07"
"423160","KODEX KOFR금리액티브(합성)","110650","10","0.01","110642.71","110645","110650","110645","492198","54461123287","4418365150000","4409665134155","39931000","KOFR 지수","1181.95","0.08","0.01"
"292190","KODEX KRX300","34755","-4975","-12.52","34837.08","37615","38920","34525","118413","4247169520","55608000000","55739335935","1600000","KRX 300","3383.99","-465.79","-12.10"
"306950","KODEX KRX300레버리지","54015","-13485","-19.98","53440.37","64750","67400","54010","36358","2185172535","54015000000","53440372196","1000000","KRX 300","3383.99","-465.79","-12.10"
"229720","KODEX KTOP30","27825","-3975","-12.50","28007.49","30710","31085","27700","59749","1759076495","13912500000","14003744704","500000","KTOP 30","14074.38","-1909.46","-11.95"
"0115D0","KODEX K조선TOP10","8705","-1555","-15.16","8683.88","9870","9870","8605","3029587","28099259080","113165000000","113324635661","13000000","KRX K조선 TOP10 지수","5449.55","-1007.91","-15.61"
"266360","KODEX K콘텐츠","11660","-1515","-11.50","11633.73","12745","12825","11630","210523","2570381315","47806000000","47698301214","4100000","KRX K콘텐츠","1794.92","-237.30","-11.68"
"291890","KODEX MSCI EM선물(H)","10555","-635","-5.67","10881.80","11005","11005","10555","2997","31953975","7388500000","7617259983","700000","iEdge Emerging Markets Futures Index(ER)","1539.94","16.08","1.05"
"289040","KODEX MSCI KOREA ESG유니버설","22310","-3075","-12.11","22371.12","24275","24705","22235","2579","58769215","15617000000","15659783280","700000","MSCI Korea ESG Universal Capped Index","3116.85","-407.93","-11.57"
"156080","KODEX MSCI Korea","35925","-4570","-11.29","35775.74","38815","40132","35570","55578","2119176194","28740000000","28620589837","800000","MSCI Korea Index","1738.42","-233.74","-11.85"
"278540","KODEX MSCI Korea TR","26485","-3480","-11.61","26469.29","28550","29550","26305","109028","3023637345","2094963500000","2093720852222","79100000","MSCI Korea TR Index","3354.72","-451.05","-11.85"
"251350","KODEX MSCI선진국","37195","-310","-0.83","37604.35","37500","37525","36990","124641","4651588610","494693500000","496377390441","13300000","MSCI World","4487.45","30.61","0.69"
"269420","KODEX S&P글로벌인프라(합성)","24230","-395","-1.60","24353.55","24520","24520","24220","20423","497789410","25078050000","25205922855","1035000","S&P Global Infrastructure Index","3901.91","21.05","0.54"
"433970","KODEX TDF2030액티브","13635","-85","-0.62","13694.82","13720","13720","13450","37696","514078343","83173500000","83538386654","6100000","Samsung Korea Target Date 2030 Index (Price Return)","1856.77","-17.00","-0.91"
