종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"200350","아티스트스튜디오","4085","4225","140","3.43","28567","118105009"
"321820","아티스트컴퍼니","3170","3250","80","2.52","29216","94031380"
"149300","아퓨어스","37","36","-1","-2.70","56026","1915924"
"102950","아하","1520","1540","20","1.32","4483","6870423"
"001540","안국약품","7810","7940","130","1.66","43994","343646215"
"053800","안랩","61300","63100","1800","2.94","46514","2876813150"
"251280","안지오랩","2225","2390","165","7.42","380","850280"
"065660","안트로젠","41700","43300","1600","3.84","83631","3552847200"
"297570","알로이스","1409","1454","45","3.19","325504","469056629"
"001780","알루코","2100","2075","-25","-1.19","888180","1845681461"
"260660","알리코제약","3500","3465","-35","-1.00","39713","135924975"
"354320","알멕","56000","53700","-2300","-4.11","428291","22333315350"
"361570","알비더블유","2010","2085","75","3.73","178071","367978126"
"131370","알서포트","2110","2125","15","0.71","137206","287881662"
"140670","알에스오토메이션","20300","21050","750","3.69","341858","7071530070"
"096610","알에프세미","2965","2965","0","0.00","0","0"
"061040","알에프텍","1818","1805","-13","-0.72","257456","462935891"
"148250","알엔투테크놀로지","2625","2700","75","2.86","47976","128542529"
"123010","알엔티엑스","780","791","11","1.41","197868","154682436"
"476830","알지노믹스","151100","164200","13100","8.67","653804","104639524200"
"347860","알체라","1550","1552","2","0.13","191813","298565400"
"196170","알테오젠","372000","373000","1000","0.27","312462","116053251000"
"123750","알톤","2070","2100","30","1.45","79640","165178490"
"459550","알트","3280","3250","-30","-0.91","391944","1274259028"
"085810","알티캐스트","556","553","-3","-0.54","210540","115621693"
"043100","알파AI","1248","1263","15","1.20","328445","419489963"
"117670","알파칩스","15880","17020","1140","7.18","30062","512069110"
"314140","알피바이오","6660","6740","80","1.20","11501","76276090"
"291650","압타머사이언스","1329","1405","76","5.72","671043","901679537"
"293780","압타바이오","6860","6900","40","0.58","146729","989216615"
"018250","애경산업","14320","14170","-150","-1.05","59757","837598275"
"161000","애경케미칼","9690","10260","570","5.88","214290","2169458140"
"390110","애니메디솔루션","523","540","17","3.25","9979","4608887"
"310200","애니플러스","3175","3220","45","1.42","193617","621683699"
"179530","애드바이오텍","1495","1510","15","1.00","67281","101241537"
