종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"098660","에스티오","KOSDAQ","섬유·의류","1514","-8","-0.53","18926477664"
"052020","에스티큐브","KOSDAQ","유통","7950","-310","-3.75","540467163450"
"237690","에스티팜","KOSDAQ","제약","131500","-24100","-15.49","2732136050000"
"050760","에스폴리텍","KOSDAQ","화학","1112","-97","-8.02","18164161936"
"288620","에스퓨얼셀","KOSDAQ","전기·전자","7670","-1140","-12.94","53531353720"
"443670","에스피소프트","KOSDAQ","유통","4365","-585","-11.82","107996176080"
"317830","에스피시스템스","KOSDAQ","기계·장비","9110","-2140","-19.02","98149481980"
"058610","에스피지","KOSDAQ","전기·전자","108400","-26400","-19.58","2404025824000"
"043340","에쎈테크","KOSDAQ","기계·장비","521","-45","-7.95","49495000000"
"163280","에어레인","KOSDAQ","기계·장비","12440","-1210","-8.86","84611145160"
"200710","에이디테크놀로지","KOSDAQ","전기·전자","35000","-6900","-16.47","470428770000"
"475580","에이럭스","KOSDAQ","기타제조","8270","-1700","-17.05","112677923000"
"096690","에이루트","KOSDAQ","전기·전자","1302","-187","-12.56","31426443006"
"298380","에이비엘바이오","KOSDAQ","제약","152900","-31700","-17.17","8455021082200"
"203400","에이비온","KOSDAQ","일반서비스","2500","-530","-17.49","225253260000"
"195990","에이비프로바이오","KOSDAQ","기계·장비","140","0","0.00","39856560940"
"003800","에이스침대","KOSDAQ","기타제조","33450","-1750","-4.97","370960500000"
"088800","에이스테크","KOSDAQ","전기·전자","2400","-450","-15.79","181215441600"
"241840","에이스토리","KOSDAQ","오락·문화","5150","-850","-14.17","49130969100"
"364950","에이아이코리아","KOSDAQ","기계·장비","5530","-980","-15.05","45879340850"
"453860","에이에스텍","KOSDAQ","화학","13660","-1090","-7.39","88030818180"
"312610","에이에프더블류","KOSDAQ","전기·전자","894","-179","-16.68","18109657872"
"172670","에이엘티","KOSDAQ","전기·전자","10630","-1740","-14.07","95247553170"
"481070","에이유브랜즈","KOSDAQ","유통","16580","-1930","-10.43","234772800000"
"060900","에이전트AI","KOSDAQ","전기·가스·수도","275","-20","-6.78","21950903700"
"445090","에이직랜드","KOSDAQ","전기·전자","23700","-4750","-16.70","258938094600"
"295310","에이치브이엠","KOSDAQ","금속","64800","-12000","-15.63","771245128800"
"072990","에이치시티","KOSDAQ","일반서비스","5300","-450","-7.83","76352891800"
"044990","에이치엔에스하이텍","KOSDAQ","전기·전자","14200","-2060","-12.67","109133035000"
"239610","에이치엘사이언스","KOSDAQ","음식료·담배","7980","-420","-5.00","43029077700"
"036170","에이치엠넥스","KOSDAQ","전기·전자","2810","65","2.37","172437409060"
"462020","에이치엠씨제6호스팩","KOSDAQ","금융","2097","-3","-0.14","9111465000"
"477340","에이치엠씨제7호스팩","KOSDAQ","금융","2030","-5","-0.25","15245300000"
"148930","에이치와이티씨","KOSDAQ","금속","2710","-240","-8.14","27574827230"
"044780","에이치케이","KOSDAQ","기계·장비","1333","-11","-0.82","24668214071"
"357230","에이치피오","KOSDAQ","음식료·담배","2335","-145","-5.85","96420266460"
"355690","에이텀","KOSDAQ","전기·전자","5020","-30","-0.59","27132999600"
"071670","에이테크솔루션","KOSDAQ","기계·장비","8110","-1200","-12.89","81100000000"
"045660","에이텍","KOSDAQ","전기·전자","8790","-1020","-10.40","72605400000"
"224110","에이텍모빌리티","KOSDAQ","전기·전자","8300","-1040","-11.13","44322000000"
"021080","에이티넘인베스트","KOSDAQ","금융","2835","-460","-13.96","136080000000"
"200470","에이팩트","KOSDAQ","전기·전자","6710","-1140","-14.52","284249644030"
